Part,Cust,CustNo,Main Cell,Overflow Cell
7V1070-707-C4,TMMK,C007,F46,F4A
7V2070-707-C3,TMMK,C007,F47,F4B
7V2070-707-C3,TMMC,U006,F49,F4B
7V1390-707-C3,TMMI,C028,F4C,F48
7V1390-707-C3,TMMC,U006,F45,F48
7V2420-707,TMMC,U006,F13,F16
7V1420-707,TMMC,U006,F15,F16
