7,Part No.,Cell,Cust,Tech,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
8,,,,,(sec/pc),,,,,,
210,7F0010-7570,AC1/AC2/AC3,,D13/D11, , , , , , ,
211,7F0010-7640,AC1/AC2/AC3,,D13/D11, , , , , , ,
212,7F0010-7580,AC1/AC2/AC3,,D13/D11, , , , , , ,
213,7F0010-7650,AC1/AC2/AC3,,D13/D11, , , , , , ,
214,S8774B-Y2Y9,AC1/AC2/AC3,,D13/D11, , , , , , ,
215,S8774B-G3G4,AC1/AC2/AC3,,D13/D11, , , , , , ,
216,S8774B-Y4CN,AC1/AC2/AC3,,D13/D11, , , , , , ,
217,S8774B-F0K3,AC1/AC2/AC3,,D13/D11, , , , , , ,
218,S8774B-G1WD,AC1/AC2/AC3,,D13/D11, , , , , , ,
219,S8624C-G0K7,AC1/AC2/AC3,,D13/D11, , , , , , ,
220,S8624C-G1WD,AC1/AC2/AC3,,D13/D11, , , , , , ,
221,S8624C-Y2Y9,AC1/AC2/AC3,,D13/D11, , , , , , ,
222,S8779B-G0K7,AC1/AC2/AC3,,D13/D11, , , , , , ,
223,S8779B-F0K3,AC1/AC2/AC3,,D13/D11, , , , , , ,
224,S8779B-G1WD,AC1/AC2/AC3,,D13/D11, , , , , , ,
225,S8779B-Y2Y9,AC1/AC2/AC3,,D13/D11, , , , , , ,
226,S8774B-F2K4,AC1/AC2/AC3,,D13/D11, , , , , , ,
227,S8779B-F2K4,AC1/AC2/AC3,,D13/D11, , , , , , ,
228,S8624C-G4BJ,AC1/AC2/AC3,,D13/D11, , , , , , ,
229,S8774B-G0K7,AC1/AC2/AC3,,D13/D11, , , , , , ,
230,S8702B-G1WD,AC1/AC2/AC3,,D13/D11, , , , , , ,
231,S8702B-F2K4,AC1/AC2/AC3,,D13/D11, , , , , , ,
232,S8702B-F0K3,AC1/AC2/AC3,,D13/D11, , , , , , ,
233,S8750B-F2K4,AC1/AC2/AC3,,D13/D11, , , , , , ,
234,S8637A-F0K3,AC1/AC2/AC3,,D13/D11, , , , , , ,
235,S8637A-G1WD,AC1/AC2/AC3,,D13/D11, , , , , , ,
236,S8637A-Y2Y9,AC1/AC2/AC3,,D13/D11, , , , , , ,
237,S8628B-G0K7,AC1/AC2/AC3,,D13/D11, , , , , , ,
238,S8628B-Y2Y9,AC1/AC2/AC3,,D13/D11, , , , , , ,
239,S8628B-G4BJ,AC1/AC2/AC3,,D13/D11, , , , , , ,
240,S8626B-G0K7,AC1/AC2/AC3,,D13/D11, , , , , , ,
241,S8626B-Y2Y9,AC1/AC2/AC3,,D13/D11, , , , , , ,
242,S8626B-G4BJ,AC1/AC2/AC3,,D13/D11, , , , , , ,
243,7F0010-7360,AC4/AC5,,D12, , , , , , ,
244,7F0010-7370,AC4/AC5,,D12, , , , , , ,
245,7F0010-7380,AC4/AC5,,D12, , , , , , ,
246,7F0010-7220,AC4/AC5,,D13, , , , , , ,
247,S8789A-F0K3,AC4/AC5,,D12, , , , , , ,
248,S8789A-G0K7,AC4/AC5,,D12, , , , , , ,
249,S8789A-G1WD,AC4/AC5,,D12, , , , , , ,
250,S8789A-Y2Y9,AC4/AC5,,D12, , , , , , ,
251,S8625A-F0K3,AC4/AC5,,D12, , , , , , ,
252,S8781B-F0K3,AC4/AC5,,D12, , , , , , ,
253,S8786A-F0K3,AC4/AC5,,D12, , , , , , ,
254,S8638A-Y2Y9,AC4/AC5,,D12, , , , , , ,
255,7F0010-7020,AC4/AC5,,D12, , , , , , ,
256,7F0010-7040,AC4/AC5,,D12, , , , , , ,
257,7F0010-7050,AC4/AC5,,D12, , , , , , ,
258,7F0010-7060,AC4/AC5,,D12, , , , , , ,
259,7F0010-7110,AC4/AC5,,D12, , , , , , ,
260,7F0010-7120,AC4/AC5,,D12, , , , , , ,
261,7F0010-7150,AC4/AC5,,D12, , , , , , ,
262,7F0010-7160,AC4/AC5,,D12, , , , , , ,
263,7F0010-7610,AC4/AC5,,D12, , , , , , ,
264,7F0010-7620,AC4/AC5,,D12, , , , , , ,
265,S8796A-F0K3,AC4/AC5,,D12, , , , , , ,
266,S8796A-F2K4,AC4/AC5,,D12, , , , , , ,
267,S8796A-G1WD,AC4/AC5,,D12, , , , , , ,
268,S8608A-G1WD,AC4/AC5,,D12, , , , , , ,
269,S8608A-Y2Y9,AC4/AC5,,D12, , , , , , ,
270,S8608A-Y4CN,AC4/AC5,,D12, , , , , , ,
271,S8731D-F0K3,AC4/AC5,,D12, , , , , , ,
272,S8731D-F2K4,AC4/AC5,,D12, , , , , , ,
273,S8731D-G1WD,AC4/AC5,,D12, , , , , , ,
274,S8751D-F0K3,AC4/AC5,,D12, , , , , , ,
275,S8751D-F2K4,AC4/AC5,,D12, , , , , , ,
276,S8751D-G1WD,AC4/AC5,,D12, , , , , , ,
277,S8797A-G1WD,AC4/AC5,,D12, , , , , , ,
278,S8797A-Y2Y9,AC4/AC5,,D12, , , , , , ,
279,S8797A-Y4CN,AC4/AC5,,D12, , , , , , ,
280,S8752B-F0K3,AC4/AC5,,D12, , , , , , ,
281,S8752B-F2K4,AC4/AC5,,D12, , , , , , ,
282,S8752B-G1WD,AC4/AC5,,D12, , , , , , ,
283,S8790A-F0K3,AC4/AC5,,D12, , , , , , ,
284,S8790A-F2K4,AC4/AC5,,D12, , , , , , ,
285,S8790A-G1WD,AC4/AC5,,D12, , , , , , ,
286,S8726A-184D,AC4/AC5,,D12, , , , , , ,
287,S8726C-184D,AC4/AC5,,D12, , , , , , ,
288,S8623B-G0K7,AC4/AC5,,D12, , , , , , ,
289,S8623B-G1WD,AC4/AC5,,D12, , , , , , ,
290,S8623B-Y2Y9,AC4/AC5,,D12, , , , , , ,
291,S8625A-G0K7,AC4/AC5,,D12, , , , , , ,
292,S8625A-G1WD,AC4/AC5,,D12, , , , , , ,
293,S8625A-Y2Y9,AC4/AC5,,D12, , , , , , ,
294,S8741A-G0K7,AC4/AC5,,D12, , , , , , ,
295,S8741A-Y2Y9,AC4/AC5,,D12, , , , , , ,
296,S8781B-G0K7,AC4/AC5,,D12, , , , , , ,
297,S8781B-G1WD,AC4/AC5,,D12, , , , , , ,
298,S8781B-Y2Y9,AC4/AC5,,D12, , , , , , ,
299,S8786A-G0K7,AC4/AC5,,D12, , , , , , ,
300,S8786A-G1WD,AC4/AC5,,D12, , , , , , ,
301,S8786A-Y2Y9,AC4/AC5,,D12, , , , , , ,
302,S8787A-G0K7,AC4/AC5,,D12, , , , , , ,
303,S8787A-G1WD,AC4/AC5,,D12, , , , , , ,
304,S8787A-Y2Y9,AC4/AC5,,D12, , , , , , ,
305,S8630A-Y2Y9,AC4/AC5,,D12, , , , , , ,
306,S8630A-G4BJ,AC4/AC5,,D12, , , , , , ,
307,7F0010-7231,AC4/AC5,,D12, , , , , , ,
308,7F0010-7390,AC4/AC5,,D12, , , , , , ,
309,7F0010-7400,AC4/AC5,,D12, , , , , , ,
310,7F0010-7410,AC4/AC5,,D12, , , , , , ,
311,7F0010-7420,AC4/AC5,,D12, , , , , , ,
312,7F0010-7430,AC4/AC5,,D12, , , , , , ,
313,7F0010-7440,AC4/AC5,,D12, , , , , , ,
314,7F0010-7480,AC4/AC5,,D12, , , , , , ,
315,7F0010-7490,AC4/AC5,,D12, , , , , , ,
316,7F0010-7500,AC4/AC5,,D12, , , , , , ,
317,7F0010-7510,AC4/AC5,,D12, , , , , , ,
318,7F0010-7450,AC4/AC5,,D12, , , , , , ,
319,7F0010-7460,AC4/AC5,,D12, , , , , , ,
320,7F0010-7470,AC4/AC5,,D12, , , , , , ,
321,7F0010-0071,WEB3,,B15C, , , , , , ,
322,7F0010-0101,WEB3,,B15C, , , , , , ,
323,7F0010-0191,WEB3,,B15C, , , , , , ,
324,7F0010-0251,WEB3,,B15C, , , , , , ,
325,7F0010-0420,WEB3,,B15C, , , , , , ,
326,U0610A-F2K4,WEB3,,B15C, , , , , , ,
327,U0610A-F0K3,WEB3,,B15C, , , , , , ,
328,U0610A-G1WD,WEB3,,B15C, , , , , , ,
329,A8681A-Y2Y9,WEB3,,B15C, , , , , , ,
330,A8681A-G0K7,WEB3,,B15C, , , , , , ,
331,A8681A-G4BJ,WEB3,,B15C, , , , , , ,
332,U0645A-F2K4,WEB3,,B15C, , , , , , ,
333,U0645A-G1WD,WEB3,,B15C, , , , , , ,
334,U0645A-F0K3,WEB3,,B15C, , , , , , ,
335,58799A-Y2Y9,WEB3,,B15C, , , , , , ,
336,58798A-Y2Y9,WEB3,,B15C, , , , , , ,
337,58782A-Y2Y9,WEB3,,RT2, , , , , , ,
338,58781A-Y2Y9,WEB3,,RT2, , , , , , ,
339,58784A-G0K7,WEB3,,B15C, , , , , , ,
340,58784A-Y2Y9,WEB3,,B15C, , , , , , ,
341,58784A-G4BJ,WEB3,,B15C, , , , , , ,
342,U0735A-G1WD,WEB3,,RT2, , , , , , ,
343,U0735A-F2K4,WEB3,,RT2, , , , , , ,
344,U0735A-F0K3,WEB3,,RT2, , , , , , ,
345,U0740A-G1WD,WEB3,,RT2, , , , , , ,
346,U0740A-F2K4,WEB3,,RT2, , , , , , ,
347,U0740A-F0K3,WEB3,,RT2, , , , , , ,
348,U0370A-G1WD,WEB3,,RT2, , , , , , ,
349,U0370A-Y2Y9,WEB3,,RT2, , , , , , ,
350,U0370A-Y4CN,WEB3,,RT2, , , , , , ,
351,U0350A-G1WD,WEB3,,RT2, , , , , , ,
352,U0350A-Y2Y9,WEB3,,RT2, , , , , , ,
353,U0350A-Y4CN,WEB3,,RT2, , , , , , ,
354,U0760A-G1WD,WEB3,,RT2, , , , , , ,
355,U0760A-F0K3,WEB3,,RT2, , , , , , ,
356,U0700A-G1WD,WEB3,,RT2, , , , , , ,
357,U0700A-F2K4,WEB3,,RT2, , , , , , ,
358,U0700A-F0K3,WEB3,,RT2, , , , , , ,
359,U0640A-G1WD,WEB3,,RT2, , , , , , ,
360,U0640A-F2K4,WEB3,,RT2, , , , , , ,
361,U0640A-F0K3,WEB3,,RT2, , , , , , ,
362,U0680A-G1WD,WEB3,,RT2, , , , , , ,
363,U0680A-F2K4,WEB3,,RT2, , , , , , ,
364,U0680A-F0K3,WEB3,,RT2, , , , , , ,
365,U0660A-G1WD,WEB3,,RT2, , , , , , ,
366,U0660A-F2K4,WEB3,,RT2, , , , , , ,
367,U0660A-F0K3,WEB3,,RT2, , , , , , ,
368,U0365A-G1WD,WEB3,,RT2, , , , , , ,
369,U0365A-F0K3,WEB3,,RT2, , , , , , ,
370,U0380A-G1WD,WEB3,,RT2, , , , , , ,
371,U0380A-F2K4,WEB3,,RT2, , , , , , ,
372,U0380A-F0K3,WEB3,,RT2, , , , , , ,
373,U0420A-G1WD,WEB3,,RT2, , , , , , ,
374,U0420A-F2K4,WEB3,,RT2, , , , , , ,
375,U0420A-F0K3,WEB3,,RT2, , , , , , ,
376,U0475A-G1WD,WEB3,,RT2, , , , , , ,
377,U0475A-F2K4,WEB3,,RT2, , , , , , ,
378,U0475A-F0K3,WEB3,,RT2, , , , , , ,
379,U0405A-F2K4,WEB3,,B15C, , , , , , ,
380,U0405A-F0K3,WEB3,,B15C, , , , , , ,
381,U0405A-G1WD,WEB3,,B15C, , , , , , ,
382,U0365A-F2K4,WEB3,,B15C, , , , , , ,
383,U0695A-F2K4,WEB3,,B15C, , , , , , ,
384,U0695A-F0K3,WEB3,,B15C, , , , , , ,
385,U0695A-G1WD,WEB3,,B15C, , , , , , ,
386,U0445A-F2K4,WEB3,,B15C, , , , , , ,
387,U0445A-F0K3,WEB3,,B15C, , , , , , ,
388,U0445A-G1WD,WEB3,,B15C, , , , , , ,
389,U0775A-G1WD,WEB3,,B15C, , , , , , ,
390,U0775A-F2K4,WEB3,,B15C, , , , , , ,
391,U0775A-F0K3,WEB3,,B15C, , , , , , ,
392,U0675A-G1WD,WEB3,,B15C, , , , , , ,
393,U0675A-F2K4,WEB3,,B15C, , , , , , ,
394,U0675A-F0K3,WEB3,,B15C, , , , , , ,
395,U0390A-F0K3,WEB3,,B15C, , , , , , ,
396,U0390A-G1WD,WEB3,,B15C, , , , , , ,
397,U0470A-F0K3,WEB3,,B15C, , , , , , ,
398,U0470A-F2K4,WEB3,,B15C, , , , , , ,
399,U0470A-G1WD,WEB3,,B15C, , , , , , ,
400,U0730A-F0K3,WEB3,,B15C, , , , , , ,
