Tech,Cell,Destination,Cdn Holiday BA,Dock code,PROGRAM,Vehicle,Cust part #,CUST #,BPCS#,Dest,QPC,Misc,Back no,QSS Item,CF0816,AF0816,CF0823,AF0823,CF0830,AF0830,CF0906,AF0906,CF0913,AF0913,CF0920,AF0920,CF0927,AF0927,CF1004,AF1004,CF1011,AF1011,CF1018,AF1018,CF1025,AF1025,CF1101,AF1101,CF1108,AF1108,CF1115,AF1115,CF1122,AF1122,CF1129,AF1129,CF1206,AF1206,CF1213,AF1213,CF1220,AF1220,CF1227,AF1227,CF0103,AF0103,CF0110,AF0110,CF0117,AF0117,CF0124,AF0124,1 week dem,Daily hej level,1 week WD,1 day PINK,DLN,Batch ordering,Status,On heijunka,Part# check
B15,MF3,USA,N,-,J5401,CX-X,VAY15763X,U092,300092,Mazda,16,SOP Jan 2022,-,7V1820-701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,0,0,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,-,J5401,CX-X,VAY05763X,U092,300092,Mazda,16,SOP Jan 2022,-,7V1830-701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,0,0,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,-,J5401,CX-X,VA4157620,-,-,TBAKI,20,SOP Jan 2022,-,7V1730-701,0,0,0,0,0,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,60,60,0,0,0,0,80,80,0,0,80,80,80,80,80,80,80,80,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,-,J5401,CX-X,VA4057620,-,-,TBAKI,16,SOP Jan 2022,-,7V1710-701,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,112,112,0,0,0,0,0,0,0,0,48,48,0,0,0,0,64,64,0,0,64,64,64,64,64,64,64,64,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,-,J5401,CX-X,VA6057620,-,-,TBAKI,16,SOP Jan 2022,-,7V1720-701,0,0,0,0,0,0,0,0,0,0,0,0,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,16,16,0,0,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,-,J5401,CX-X,VA4057680,-,-,TBAKI,16,SOP Jan 2022,-,7V2710-701,0,0,0,0,0,0,0,0,0,0,0,0,176,176,0,0,0,0,0,0,176,176,0,0,0,0,0,0,0,0,96,96,0,0,0,0,160,160,0,0,160,160,160,160,160,160,160,160,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,730419-0542,U455,340055,TRMX,24000,-,S0Z3,730419-0542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,8000,8000,8000,6400,0,0,8000,8000,8000,8000,8000,8000,8000,8000,-,-,-,-,-,-,-,No,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730419-1200,U455,340055,TRMX,500,-,S0YX-M,730419-1200,0,1000,1000,0,0,1000,1000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000,4000,4000,6000,6000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000,6000,5600,5600,5600,5600,5600,4480,0,0,5600,5600,5600,5600,5600,5600,5600,5600,-,-,-,-,-,-,-,No,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730419-1640,U455,340055,TRMX,1500,-,S0Y5-M,730419-1640,0,3000,3000,0,0,0,0,0,0,4000,4000,3000,3000,3000,3000,3000,3000,3000,3000,1500,1500,1500,1500,3000,3000,3000,3000,3000,3000,3000,3000,3000,2700,2700,2700,2700,2700,2160,0,0,2700,2700,2700,2700,2700,2700,2700,2700,-,-,-,-,-,-,-,No,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730480-7160,U455,340055,TRMX,49,-,S0Z0-M,730480-7160,0,0,0,980,980,0,0,980,980,980,980,1960,1960,1078,1078,1470,1470,1960,1960,1960,1960,1176,1176,1372,1372,1372,1372,1372,1372,1372,1372,1372,1333,1333,1333,1333,1333,1066,0,0,1333,1333,1333,1333,1333,1333,1333,1333,-,-,-,-,-,-,-,No,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730480-7170,U455,340055,TRMX,49,-,S0Z1-M,730480-7170,0,0,0,980,980,0,0,0,0,294,294,490,490,588,588,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,392,0,0,490,490,490,490,490,490,490,490,-,-,-,-,-,-,-,No,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730480-7180,U455,340055,TRMX,49,-,S0YB-M,730480-7180,0,0,0,3920,3920,0,0,1568,1568,1568,1568,3920,3920,2940,2940,3332,3332,3528,3528,3920,3920,3920,3920,3528,3528,3528,3528,3528,3528,3528,3528,3528,3606,3606,3606,3606,3606,2885,0,0,3606,3606,3606,3606,3606,3606,3606,3606,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5030-0010,U455,340055,TRMX,4200,-,S0YD-L,7P5030-0010,0,0,0,4200,4200,4200,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,0,0,0,840,840,840,840,840,672,0,0,840,840,840,840,840,840,840,840,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5034-0010,U455,340055,TRMX,4200,-,S0YE-L,7P5034-0010,0,0,0,4200,4200,4200,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,4200,840,840,840,840,840,672,0,0,840,840,840,840,840,840,840,840,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5037-0010,U455,340055,TRMX,4200,-,S0YF-L,7P5037-0010,0,0,0,4200,4200,4200,4200,0,0,0,0,0,0,4200,4200,0,0,0,0,4200,4200,0,0,4200,4200,0,0,0,0,4200,4200,4200,1680,1680,1680,1680,1680,1344,0,0,1680,1680,1680,1680,1680,1680,1680,1680,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5044-0010,U455,340055,TRMX,4200,-,S0YG-L,7P5044-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,160,0,0,200,200,200,200,200,200,200,200,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5047-0010,U455,340055,TRMX,4200,-,S0YH-L,7P5047-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,160,0,0,200,200,200,200,200,200,200,200,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3080-0010,U455,340055,TRMX,4200,-,S0Z2-L,7V3080-0010,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,0,0,0,840,840,840,840,840,672,0,0,840,840,840,840,840,840,840,840,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3084-0010,U455,340055,TRMX,4200,-,S0YJ-L,7V3084-0010,0,4200,4200,0,0,4200,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3086-0010,U455,340055,TRMX,4200,-,S0YK-L,7V3086-0010,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3087-0010,U455,340055,TRMX,4200,-,S0YL-L,7V3087-0010,0,0,0,8400,8400,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,4200,4200,0,0,4200,4200,0,0,0,0,4200,4200,4200,1680,1680,1680,1680,1680,1344,0,0,1680,1680,1680,1680,1680,1680,1680,1680,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3094-0010,U455,340055,TRMX,4200,-,S0YM-L,7V3094-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3096-0010,U455,340055,TRMX,4200,-,S0YN-L,7V3096-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3097-0010,U455,340055,TRMX,4200,-,S0YP-L,7V3097-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4080-0010,U455,340055,TRMX,4200,-,S0YQ-L,7V4080-0010,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,0,0,0,840,840,840,840,840,672,0,0,840,840,840,840,840,840,840,840,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4084-0010,U455,340055,TRMX,4200,-,S0YR-L,7V4084-0010,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4086-0010,U455,340055,TRMX,4200,-,S0YS-L,7V4086-0010,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4087-0010,U455,340055,TRMX,4200,-,S0YT-L,7V4087-0010,0,0,0,8400,8400,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,4200,4200,0,0,4200,4200,0,0,0,0,4200,4200,4200,1680,1680,1680,1680,1680,1344,0,0,1680,1680,1680,1680,1680,1680,1680,1680,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4094-0010,U455,340055,TRMX,4200,-,S0YU-L,7V4094-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4096-0010,U455,340055,TRMX,4200,-,S0YV-L,7V4096-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4097-0010,U455,340055,TRMX,4200,-,S0YW-L,7V4097-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1120,0,0,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4100-0010,U455,340055,TRMX,4200,-,S0Z5-L,7V4100-0010,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,0,0,4200,4200,0,0,4200,4200,0,0,0,1680,1680,1680,1680,1680,1344,0,0,1680,1680,1680,1680,1680,1680,1680,1680,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7F0010-1110,U455,340055,TRMX,1000,-,S17V,7F0010-1110,0,0,0,1000,1000,0,0,1000,1000,1000,1000,1000,1000,2000,2000,1000,1000,1000,1000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,0,0,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7F0010-1120,U455,340055,TRMX,1000,-,S17W,7F0010-1120,0,0,0,1000,1000,0,0,0,0,1000,1000,500,500,500,500,1000,1000,1000,1000,500,500,500,500,1000,1000,500,500,1000,1000,1000,1000,1000,800,800,800,800,800,640,0,0,800,800,800,800,800,800,800,800,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7F0010-1130,U455,340055,TRMX,1000,-,S17X,7F0010-1130,0,0,0,1000,1000,1000,1000,3000,3000,3000,3000,4000,4000,4000,4000,3000,3000,3000,3000,4000,4000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2400,0,0,3000,3000,3000,3000,3000,3000,3000,3000,-,-,-,-,-,-,-,No,#REF!
