,Part No.,Cell,Cust,Tech,Vehicle,Customer Demand,QPC,,Pcs/ Changovr,Chgovrs/ Day,Time/ Chgovr,Total Chgovr Time,Chgovr Time/Line,Chgovr Time/Line/Pc,,# Online Assoc, # Offline Assoc , # ATL ,Shift Hours,PF&D Allow,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
A1608-015B-TCF43,A1608-015B-TC,F43,,,,,,,0,0,138.0,0.0,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1608-140B-TCF43,A1608-140B-TC,F43,,,,,,,0,0,138.0,0.0,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1608-201B-TCF43,A1608-201B-TC,F43,,,,,,,0,0,138.0,0.0,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1608-015B-MSF43,A1608-015B-MS,F43,,,,,,,0,0,138.0,0.0,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1608-140B-MSF43,A1608-140B-MS,F43,,,,,,,0,0,138.0,0.0,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1608-201B-MSF43,A1608-201B-MS,F43,,,,,,,0,0,138.0,0.0,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1612-015BF43,A1612-015B,F43,,,,,,,0,0,138.0,0.0,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1612-140BF43,A1612-140B,F43,,,,,,,0,0,138.0,0.0,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1612-201BF43,A1612-201B,F43,,,,,,,0,0,138.0,0.0,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1500-201BF43U070,A1500-201B,F43,U070,D13,Tacoma,1079.00,6,,90,12,138.0,1656.5,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1502-201BF43U070,A1502-201B,F43,U070,D13,Tacoma,772.00,6,,64,12,138.0,1656.5,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1502-201BF43U044,A1502-201B,F43,U044,D13,Tacoma,1119.00,6,,93,12,138.0,1656.5,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1502-201BF43U041,A1502-201B,F43,U041,D13,Tacoma,2318.00,6,,193,12,138.0,1656.5,6626.1,1.3,,3, 1.00 , 0.50 ,7.28,110%, ,20.02,8.94,6.70, , ,
A1606-140BF44,A1606-140B,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,11.89,7.53, , ,
A1606-201BF44,A1606-201B,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,11.89,7.53, , ,
A1606-454BF44,A1606-454B,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,11.89,7.53, , ,
A1606-Y2Y9F44,A1606-Y2Y9,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,11.89,7.53, , ,
A1502-105BF44,A1502-105B,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,23.09,11.42,6.48, , ,
A1507-105BF44U044,A1507-105B,F44,U044,D13,Tacoma,513.00,6,,43,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,21.23,10.38,5.93, , ,
A1507-105BF44U041,A1507-105B,F44,U041,D13,Tacoma,597.00,6,,50,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,21.23,10.38,5.93, , ,
A1507-105BF44U070,A1507-105B,F44,U070,D13,Tacoma,569.00,6,,47,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,21.23,10.38,5.93, , ,
A1516-146BF44U006,A1516-146B,F44,U006,D13,Lexus,1217.00,6,,101,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,12.04,7.24, , ,
A1516-201BF44U006,A1516-201B,F44,U006,D13,Lexus,346.00,6,,29,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,12.04,7.24, , ,
A1516-008BF44U006,A1516-008B,F44,U006,D13,Lexus,997.00,6,,83,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,12.04,7.24, , ,
A1529-146BF44U006,A1529-146B,F44,U006,D13,Lexus,1217.00,6,,101,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,25.16,12.04,7.24, , ,
A1529-201BF44U006,A1529-201B,F44,U006,D13,Lexus,346.00,6,,29,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,25.16,12.04,7.24, , ,
A1529-008BF44U006,A1529-008B,F44,U006,D13,Lexus,997.00,6,,83,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,25.16,12.04,7.24, , ,
7V1360-707-C1F44,7V1360-707-C1,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,12.04,7.24, , ,
7V1368-707-E0F44,7V1368-707-E0,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,12.04,7.24, , ,
7V1363-707-C0F44,7V1363-707-C0,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,12.04,7.24, , ,
7V1740-707F44C007,7V1740-707,F44,C007,D13,Lexus,107.00,6,,9,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,12.04,7.24, , ,
7V1740-707-C3F44C007,7V1740-707-C3,F44,C007,D13,Lexus,0.00,6,,0,0,158.6,0.0,28540.2,0.0,,3, 1.00 , 0.50 ,7.28,110%, ,24.60,10.96,6.43, , ,
7V1748-707F44C007,7V1748-707,F44,C007,D13,Lexus,186.00,6,,16,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,12.04,7.24, , ,
7V1743-707F44C007,7V1743-707,F44,C007,D13,Lexus,742.00,6,,62,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,26.21,12.04,7.24, , ,
7V2360-707-C1F44,7V2360-707-C1,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,25.16,12.04,7.24, , ,
7V2368-707-E0F44,7V2368-707-E0,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,25.16,12.04,7.24, , ,
7V2363-707-C0F44,7V2363-707-C0,F44,,,,,,,0,0,158.6,0.0,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,25.16,12.04,7.24, , ,
7V2740-707F44C007,7V2740-707,F44,C007,D13,Lexus,107.00,6,,9,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,25.16,12.04,7.24, , ,
7V2740-707-C3F44C007,7V2740-707-C3,F44,C007,D13,Lexus,0.00,6,,0,0,158.6,0.0,28540.2,0.0,,3, 1.00 , 0.50 ,7.28,110%, ,23.55,10.96,6.43, , ,
7V2748-707F44C007,7V2748-707,F44,C007,D13,Lexus,186.00,6,,16,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,25.16,12.04,7.24, , ,
7V2743-707F44C007,7V2743-707,F44,C007,D13,Lexus,742.00,6,,62,12,158.6,1902.7,28540.2,3.2,,3, 1.00 , 0.50 ,7.28,110%, ,25.16,12.04,7.24, , ,
7V1460-707F45,7V1460-707,F45,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1390-707-C1F45,7V1390-707-C1,F45,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1390-707-C3F45,7V1390-707-C3,F45,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1070-707-C1F46,7V1070-707-C1,F46,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2070-707-C1F47,7V2070-707-C1,F47,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2073-707F47,7V2073-707,F47,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
