Dock code,QSS Item,CUST #,Tech,Cell,Back no,AF0628,AF0705,AF0712,AF0719,AF0726,AF0802,AF0809,AF0816,AF0823,AF0830,AF0906,AF0913,AF0920,AF0927,AF1004,AF1011,AF1018,AF1025,AF1101,AF1108,AF1115,AF1122,AF1129,AF1206
ATS,7M9147-701,C029,B15,C10,5QS577,742,930,938,154,966,1148,1260,1176,1386,1148,910,1162,1386,1260,1050,840,1050,1050,1050,1050,1050,630,1050,1050
ATS,7M9140-701,C029,B15,C10,5QS578,1806,2260,2548,406,2142,2604,3262,2660,3206,2618,2114,2618,3108,3175,2646,2117,2646,2646,2646,2646,2646,1588,2646,2646
ATS,7V1537-701,C029,B15,C10,5QS586,60,75,80,20,120,60,40,40,40,60,20,40,60,24,20,16,20,20,20,20,20,12,20,20
ATS,7V1530-701,C029,B15,C10,5QS587,440,550,840,140,620,340,440,360,400,340,280,320,400,432,360,288,360,360,360,360,360,216,360,360
ATS,7V1534-701,C029,B15,C10,5QS585,20,25,20,0,20,0,20,20,0,20,0,20,20,12,10,8,10,10,10,10,10,6,10,10
ATS,7V1547-701,C029,B15,C10,5QS580,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1540-701,C029,B15,C10,5QS581,100,125,200,20,160,40,40,20,60,20,40,60,40,36,30,24,30,30,30,30,30,18,30,30
ATS,7V1544-701,C029,B15,C10,5QS579,0,0,20,0,20,0,0,0,0,20,0,0,0,12,10,8,10,10,10,10,10,6,10,10
ATS,7V1557-701,C029,B15,C10,5QS583,80,100,120,0,80,40,80,40,40,40,40,40,40,48,40,32,40,40,40,40,40,24,40,40
ATS,7V1550-701,C029,B15,C10,5QS584,40,50,40,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1554-701,C029,B15,C10,5QS582,0,0,40,0,40,40,40,40,0,0,40,0,0,24,20,16,20,20,20,20,20,12,20,20
TBN,7M5330-710,C033,BKLE,P03,QSS036,2056,2570,3217,512,2591,2861,3442,2874,3447,2849,2298,2556,2703,3244,2703,2162,2703,2703,2703,2703,2703,1622,2703,2703
TBN,7V2590-701,C033,B15,CF6,QSS037,323,405,606,95,487,489,589,491,590,488,393,439,479,575,479,383,479,479,479,479,479,287,479,479
TBN,7V1620-701,C033,BKLE,MF2,QSS039,2056,2570,3217,512,2591,2861,3442,2874,3447,2849,2298,2556,2703,3244,2703,2162,2703,2703,2703,2703,2703,1622,2703,2703
TBN,7M9160-701,C033,BKLE,CF8,QSS041,2056,2570,3217,512,2591,2861,3442,2874,3447,2849,2298,2556,2703,3244,2703,2162,2703,2703,2703,2703,2703,1622,2703,2703
TBN,A0136,C033,C10,C10,QS5258,1510,1890,2101,338,1692,1679,2027,1687,2024,1672,1349,1682,1676,2011,1676,1341,1676,1676,1676,1676,1676,1006,1676,1676
TBN,7V2407-701,C033,B15,CF7,QSS001,500,625,628,94,610,574,713,591,744,611,472,574,555,666,555,444,555,555,555,555,555,333,555,555
TBN,7V2400-701,C033,B15,CF7,QSS002,2554,3195,3827,608,3047,3317,3999,3346,3993,3297,2639,3075,3168,3802,3168,2534,3168,3168,3168,3168,3168,1901,3168,3168
TBN,7V2404-701,C033,B15,CF7,QSS003,189,235,256,52,141,159,168,133,144,124,144,151,178,214,178,142,178,178,178,178,178,107,178,178
TBN,7M5294-707,C033,SIR,F51,QSS042,62,80,109,23,74,73,61,48,63,35,34,52,83,100,83,66,83,83,83,83,83,50,83,83
TBN,7M5297-707,C033,SIR,F51,QSS043,240,300,370,62,337,297,384,316,397,336,237,316,293,352,293,234,293,293,293,293,293,176,293,293
TBN,7M5290-707,C033,SIR,F51,QSS044,393,490,741,118,556,521,616,557,654,528,361,515,497,596,497,398,497,497,497,497,497,298,497,497
TBN,7V1667-701,C033,B15,CF6,QSS101,500,625,628,94,610,574,713,591,744,611,472,574,555,144,120,96,120,120,120,120,120,72,120,120
TBN,7V1857-701,C033,B15,CF6,QSS050,0,0,0,0,0,0,180,180,180,180,180,180,180,1044,870,696,870,870,870,870,870,522,870,870
TBN,7V1660-701-C0,C033,B15,CF4,QSS100,2877,3595,4433,703,3534,3806,4588,3837,4583,3785,3032,3514,3646,4375,3646,2917,3646,3646,3646,3646,3646,2188,3646,3646
TBN,7V1850-701,C033,B15,CF6,QSS051,0,0,0,0,0,0,180,180,180,180,180,180,180,1044,870,696,870,870,870,870,870,522,870,870
TBN,7V1664-701,C033,B15,CF6,QSS102,189,235,256,52,141,159,168,133,144,124,144,151,178,0,0,0,0,0,0,0,0,0,0,0
TBN,7V1854-701,C033,B15,CF6,QSS052,0,0,0,0,0,0,180,180,180,180,180,180,180,1044,870,696,870,870,870,870,870,522,870,870
TBN,7V2497-701,C033,B15,C10,QSS047,762,955,890,128,881,847,1042,864,1091,882,707,830,818,982,818,654,818,818,818,818,818,491,818,818
TBN,7V2490-701,C033,B15,C10,QSS048,1249,1560,1697,266,1322,1369,1678,1369,1616,1342,1103,1395,1386,1663,1386,1109,1386,1386,1386,1386,1386,832,1386,1386
TBN,7V2494-701,C033,B15,C10,QSS035,318,400,401,83,208,243,279,218,223,211,254,248,272,326,272,218,272,272,272,272,272,163,272,272
TBN,7M5297-701,C033,B15,C10,QSS021,240,300,370,62,337,297,384,316,397,336,237,316,293,352,293,234,293,293,293,293,293,176,293,293
TBN,7M5290-701,C033,B15,C10,QSS023,393,490,741,118,556,521,616,557,654,528,361,515,497,596,497,398,497,497,497,497,497,298,497,497
TBN,7M5294-701,C033,B15,C10,QSS025,62,80,109,23,74,73,61,48,63,35,34,52,83,100,83,66,83,83,83,83,83,50,83,83
TBN,7V1497-701,C033,B15,C10,QSS045,240,300,370,62,337,297,384,316,397,336,237,316,293,352,293,234,293,293,293,293,293,176,293,293
TBN,7V1490-701,C033,B15,C10,QSS046,393,490,741,118,556,521,616,557,654,528,361,515,497,596,497,398,497,497,497,497,497,298,497,497
TBN,7V1494-701,C033,B15,C10,QSS020,62,80,109,23,74,73,61,48,63,35,34,52,83,100,83,66,83,83,83,83,83,50,83,83
TBN,7V2524-701,C033,B15,C10,QSS032,189,235,256,51,141,159,168,133,144,123,143,151,178,214,178,142,178,178,178,178,178,107,178,178
TBN,7V2527-701,C033,B15,C10,QSS030,500,625,628,94,610,574,713,591,744,611,472,574,556,667,556,445,556,556,556,556,556,334,556,556
TBN,7V2520-701,C033,B15,C10,QSS031,821,1025,1217,192,942,946,1146,963,1136,937,733,956,943,1132,943,754,943,943,943,943,943,566,943,943
TBN,7M5324-701,C033,B15,C10,QSS009,189,235,256,51,141,159,168,133,144,123,143,151,178,214,178,142,178,178,178,178,178,107,178,178
TBN,7M5327-701,C033,B15,C10,QSS007,500,625,628,94,610,574,713,591,744,611,472,574,556,667,556,445,556,556,556,556,556,334,556,556
TBN,7M5320-701,C033,B15,C10,QSS008,821,1025,1217,192,942,946,1146,963,1136,937,733,956,943,1132,943,754,943,943,943,943,943,566,943,943
TBN,7M9144-701,C033,B15,C10,QSS029,189,235,256,51,141,159,168,133,144,123,143,151,178,214,178,142,178,178,178,178,178,107,178,178
TBN,7M9147-701,C033,B15,C10,QSS027,500,625,628,94,610,574,713,591,744,611,472,574,556,667,556,445,556,556,556,556,556,334,556,556
TBN,7M9140-701,C033,B15,C10,QSS028,821,1025,1217,192,942,946,1146,963,1136,937,733,956,943,1132,943,754,943,943,943,943,943,566,943,943
JCIK,7V2070-701-C0,C043,B15,CF5,QSS161,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCIK,7V2074-701-E0,C043,B15,CF5,QSS162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCIK,7V2080-701-C0,C043,B15,CF2,QSS155,6225,7650,7650,4740,8685,7335,8415,7155,8385,6975,5700,8295,6975,8370,6975,5580,6975,6975,6975,6975,6975,4185,6975,6975
JCIK,7V2084-701-E0,C043,B15,CF6,QSS156,90,120,120,90,165,120,165,120,135,120,120,150,120,144,120,96,120,120,120,120,120,72,120,120
JCIK,7V1070-701-C0,C043,B15,CF2,QSS164,4230,5220,5220,3330,6240,5310,6030,4920,5970,4980,3960,5760,4980,5976,4980,3984,4980,4980,4980,4980,4980,2988,4980,4980
JCIK,7V1074-701-E0,C043,B15,CF6,QSS165,60,90,90,30,90,90,90,90,60,90,60,90,90,108,90,72,90,90,90,90,90,54,90,90
JCIK,7V1084-701-E0,C043,B15,CF6,QSS159,30,30,30,30,90,30,60,30,60,60,60,60,60,72,60,48,60,60,60,60,60,36,60,60
JCIK,7V1080-701-C0,C043,B15,CF6,QSS158,2400,2940,2940,1650,2820,2400,2760,2580,2850,2370,2010,3000,2370,2844,2370,1896,2370,2370,2370,2370,2370,1422,2370,2370
JCIK,7V2370-701-C0,C043,B15,CF6,QSS166,510,660,660,0,660,690,885,900,1170,990,795,1185,990,1188,990,792,990,990,990,990,990,594,990,990
JCIK,7V2378-701-E0,C043,B15,CF6,QSS167,195,315,315,0,315,315,360,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCIK,7V1370-701-C0,C043,B15,CF6,QSS168,510,690,690,0,660,690,870,900,1170,990,810,1170,990,1188,990,792,990,990,990,990,990,594,990,990
JCIK,7V1378-701-E0,C043,B15,CF6,QSS169,180,330,330,0,300,330,360,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCIK,7V2200-701,C043,B15,CF2,QSS170,390,495,495,210,405,375,360,345,435,390,285,435,390,468,390,312,390,390,390,390,390,234,390,390
JCIK,7V2390-701-C0,C043,B15,CF5,QSS171,252,315,315,180,333,279,270,243,288,234,216,297,234,281,234,187,234,234,234,234,234,140,234,234
JCIK,7V2400-701-C0,C043,B15,CF7,QSS172,1530,1881,1881,1089,2079,1782,2097,1782,2070,1737,1404,2043,1737,2084,1737,1390,1737,1737,1737,1737,1737,1042,1737,1737
JCIK,7V1660-701-C0,C043,B15,CF5,QSS173,1800,2205,2205,1260,2415,2055,2370,2025,2355,1980,1620,2340,1980,2376,1980,1584,1980,1980,1980,1980,1980,1188,1980,1980
JCIK,7M5240-707,C043,D12,F52,QSS174,1790,2200,2200,1270,2410,2060,2370,2020,2360,1970,1620,2350,1970,2364,1970,1576,1970,1970,1970,1970,1970,1182,1970,1970
TOMI,730428-067,C048,Misc,PC,Q243,25800,20640,25800,0,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,15480,25800,25800
LEAR,7M5257-707,U003,D10,F25,257B,0,0,0,0,0,288,288,288,288,288,288,288,288,346,576,230,576,288,288,288,288,173,288,288
TMMAA,A1502-105B,U041,D13,F43,A1S2,605,876,857,488,945,855,876,876,868,888,714,845,613,1043,869,695,869,869,869,869,869,695,869,869
TMMAA,A1502-201B,U041,D13,F43,A1S3,1727,2327,2345,1110,1971,1810,1789,1785,1791,2413,1846,2278,1747,2752,2293,1834,2293,2293,2293,2293,2293,1834,2293,2293
TMMAA,A1507-105B,U041,D13,F44,A1S6,605,876,857,488,945,855,876,876,868,888,714,845,613,1043,869,695,869,869,869,869,869,695,869,869
TMMAA,A1507-201B,U041,D13,F43,A1S7,1732,2327,2345,1110,1971,1810,1789,1785,1791,2413,1846,2278,1747,2752,2293,1834,2293,2293,2293,2293,2293,1834,2293,2293
TMMG1,A1502-105B,U044,D13,F43,G654,645,801,801,0,739,880,888,887,888,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMMG1,A1502-201B,U044,D13,F43,G656,656,832,832,0,744,684,676,680,680,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMMG1,A1507-105B,U044,D13,F44,G658,645,801,801,0,739,880,888,887,888,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMMG1,A1507-201B,U044,D13,F43,G666,656,832,832,0,744,684,676,680,680,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMMG1,A3037,U044,Misc,PC,G3W2,367,634,634,0,664,590,587,595,578,481,770,962,963,961,961,0,0,0,0,0,0,0,0,0
TMMG1,A4074-138B,U044,D11APF,F35,GYS9,53,184,184,0,82,115,112,107,106,86,90,114,109,136,136,0,0,0,0,0,0,0,0,0
TMMG1,A4074-201B,U044,D11APF,F35,GYT0,2023,2405,2405,0,2312,2557,2561,2567,2568,1901,2006,2504,2505,2478,2478,0,0,0,0,0,0,0,0,0
TMMG1,A4074-457B,U044,D11APF,F35,GYT2,16,14,14,0,3,9,9,9,9,5,8,9,3,5,5,0,0,0,0,0,0,0,0,0
TMMG1,A4074-F2K4,U044,D11APF,F35,GYT1,7,13,13,0,18,19,18,14,14,7,4,8,18,13,13,0,0,0,0,0,0,0,0,0
TMMG1,A4075-138B,U044,D11APF,F35,GYT3,53,184,184,0,82,115,112,107,106,86,90,114,109,136,136,0,0,0,0,0,0,0,0,0
TMMG1,A4075-201B,U044,D11APF,F35,GYT4,2023,2405,2405,0,2312,2557,2561,2567,2568,1901,2006,2504,2505,2478,2478,0,0,0,0,0,0,0,0,0
TMMG1,A4075-457B,U044,D11APF,F35,GYT6,16,14,14,0,3,9,9,9,9,5,8,9,3,5,5,0,0,0,0,0,0,0,0,0
TMMG1,A4075-F2K4,U044,D11APF,F35,GYT5,7,13,13,0,18,19,18,14,14,7,4,8,18,13,13,0,0,0,0,0,0,0,0,0
TMMG1,7V1107-707,U044,D10,F25,GF19,34,57,57,0,21,52,52,63,54,68,64,80,76,96,96,0,0,0,0,0,0,0,0,0
TMMG1,7V1100-707,U044,D10,F25,GF20,696,1204,1204,0,1308,1125,1120,1126,1103,891,1474,1844,1850,1824,1824,0,0,0,0,0,0,0,0,0
TMMG1,7V1104-707,U044,D10,F25,GF22,5,7,7,0,0,2,2,0,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0
TMMG1,7M9007-701,U044,B15,C30,GF07,17,29,29,0,10,26,26,32,27,34,32,40,38,48,48,0,0,0,0,0,0,0,0,0
TMMG1,7M9000-701,U044,B15,C30,GF08,348,602,602,0,654,563,560,563,551,445,737,922,925,912,912,0,0,0,0,0,0,0,0,0
TMMG1,7M9004-701,U044,B15,C30,GF09,2,4,4,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
TMMG1,7V1107-701,U044,B15,C30,GF31,17,29,29,0,10,26,26,32,27,34,32,40,38,48,48,0,0,0,0,0,0,0,0,0
TMMG1,7V1100-701,U044,B15,C30,GF32,348,602,602,0,654,563,560,563,551,445,737,922,925,912,912,0,0,0,0,0,0,0,0,0
TMMG1,7V1104-701,U044,B15,C30,GF33,2,4,4,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
TMMG1,7M5057-707,U044,D10,F20,GF10,17,29,29,0,10,26,26,32,27,34,32,40,38,48,48,0,0,0,0,0,0,0,0,0
TMMG1,7M5050-707,U044,D10,F20,GF11,348,602,602,0,654,563,560,563,551,445,737,922,925,912,912,0,0,0,0,0,0,0,0,0
TMMG1,7M5054-707,U044,D10,F20,GF12,2,4,4,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
TMMG1,7M5057-701,U044,B15,C30,GF13,17,29,29,0,10,26,26,32,27,34,32,40,38,48,48,0,0,0,0,0,0,0,0,0
TMMG1,7M5050-701,U044,B15,C30,GF14,348,602,602,0,654,563,560,563,551,445,737,922,925,912,912,0,0,0,0,0,0,0,0,0
TMMG1,7M5054-701,U044,B15,C30,GF15,2,4,4,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
TMMG1,7V1117-707,U044,D10,F25,GF23,36,156,156,0,72,89,86,75,79,52,58,74,71,88,88,0,0,0,0,0,0,0,0,0
TMMG1,7V1110-707,U044,D10,F25,GF24,1675,1806,1806,0,1668,1998,2005,2012,2025,1461,1273,1587,1591,1572,1572,0,0,0,0,0,0,0,0,0
TMMG1,7V1114-707,U044,D10,F25,GF26,14,10,10,0,3,8,8,9,9,3,7,9,3,4,4,0,0,0,0,0,0,0,0,0
TMMG1,7V1113-707,U044,D10,F25,GF25,7,10,10,0,8,15,14,6,5,1,0,3,7,7,7,0,0,0,0,0,0,0,0,0
TMMG1,7M5067-701,U044,B15,C30,GF16,36,156,156,0,72,89,86,75,79,52,58,74,71,88,88,0,0,0,0,0,0,0,0,0
TMMG1,7M5060-701,U044,B15,C30,GF17,1682,1816,1816,0,1677,2013,2019,2018,2030,1462,1273,1590,1598,1579,1579,0,0,0,0,0,0,0,0,0
TMMG1,7M5064-701,U044,B15,C30,GF18,14,10,10,0,3,8,8,9,9,3,7,9,3,4,4,0,0,0,0,0,0,0,0,0
TMMG1,7V2117-707,U044,D10,F25,GF27,36,156,156,0,72,89,86,75,79,52,58,74,71,88,88,0,0,0,0,0,0,0,0,0
TMMG1,7V2110-707,U044,D10,F25,GF28,1675,1806,1806,0,1668,1998,2005,2012,2025,1461,1273,1587,1591,1572,1572,0,0,0,0,0,0,0,0,0
TMMG1,7V2114-707,U044,D10,F25,GF30,14,10,10,0,3,8,8,9,9,3,7,9,3,4,4,0,0,0,0,0,0,0,0,0
TMMG1,7V2113-707,U044,D10,F25,GF29,7,10,10,0,8,15,14,6,5,1,0,3,7,7,7,0,0,0,0,0,0,0,0,0
LT,A1500-201B,U070,D13,F43,LBL3,838,1271,1163,0,810,856,856,856,856,938,387,388,484,799,666,533,666,666,666,666,666,533,666,666
LT,A1501-201B,U070,D13,F43,LBL6,838,1271,1163,0,810,856,856,856,856,938,387,388,484,799,666,533,666,666,666,666,666,533,666,666
LT,A1502-105B,U070,D13,F43,LBL4,444,695,632,0,493,710,709,689,684,847,638,636,786,887,739,591,739,739,739,739,739,591,739,739
LT,A1502-201B,U070,D13,F43,LBL5,486,514,474,0,422,668,669,689,695,909,813,818,1026,1033,861,689,861,861,861,861,861,689,861,861
LT,A1507-105B,U070,D13,F44,LBL7,444,695,632,0,493,710,709,689,684,847,638,636,786,887,739,591,739,739,739,739,739,591,739,739
LT,A1507-201B,U070,D13,F43,LBL8,486,514,474,0,422,668,669,689,695,909,813,818,1026,1033,861,689,861,861,861,861,861,689,861,861
AVANM,7V2560-701,U071,B15,MF2,AV37,845,936,984,0,1088,1088,1096,1104,1064,1840,1464,1453,1480,1910,1592,1274,1592,1592,1592,1592,1592,1274,1592,1592
AVANM,A1579-201B,U071,B15,MF2,AV21,1088,1288,1232,0,1248,1240,1224,1224,1040,464,368,378,360,718,598,478,598,598,598,598,598,478,598,598
AVANM,A1580-201B,U071,B15,MF1,AV22,1933,2224,2216,0,2328,2328,2328,2328,2160,2880,2320,2310,2320,3163,2636,2109,2636,2636,2636,2636,2636,2109,2636,2636
A,7M5040-707,U066,SIR,F07,AV26,100,200,330,70,360,240,250,240,220,140,190,290,223,223,223,0,0,0,0,0,0,0,0,0
A,7M5040-701,U066,B15,MF2,AV27,192,192,192,192,384,192,192,192,192,192,192,384,240,240,240,0,0,0,0,0,0,0,0,0
A,7V1117-701,U066,B15,MF2,AV28,32,96,112,16,112,144,128,112,128,96,96,96,108,108,108,0,0,0,0,0,0,0,0,0
A,7V1110-701,U066,B15,MF2,AV29,1168,2336,1776,288,2112,2032,2048,2048,1984,1328,1584,2096,1864,1864,1864,0,0,0,0,0,0,0,0,0
A,7V1114-701,U066,B15,MF2,AV30,0,16,16,0,0,16,16,0,16,0,0,16,8,8,8,0,0,0,0,0,0,0,0,0
A,7V2117-701,U066,B15,MF2,AV31,0,96,192,0,96,192,96,96,192,96,96,96,120,120,120,0,0,0,0,0,0,0,0,0
A,7V2110-701,U066,B15,MF2,AV32,1168,2352,1760,304,2112,2032,2048,2064,1968,1344,1568,2096,1868,1868,1868,0,0,0,0,0,0,0,0,0
A,7V2114-701,U066,B15,MF2,AV33,0,16,0,0,16,16,16,16,16,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0
A,7M5067-707,U066,SIR,F07,AV34,20,100,120,10,100,140,140,110,130,80,100,100,105,105,105,0,0,0,0,0,0,0,0,0
A,7M5060-707,U066,SIR,F07,AV35,1170,2340,1770,300,2100,2030,2050,2060,1970,1340,1580,2090,1865,1865,1865,0,0,0,0,0,0,0,0,0
A,7M5064-707,U066,SIR,F07,AV36,0,20,0,0,0,10,10,20,10,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0
A,A1091,U066,Misc,M04,AV25,3572,7372,5700,950,6612,6536,6574,6574,6346,4256,5054,6574,5938,5938,5938,0,0,0,0,0,0,0,0,0
A,A4076-138B,U066,B15,MF1,AV11,32,128,144,16,128,160,160,128,144,112,128,160,136,136,136,0,0,0,0,0,0,0,0,0
A,A4076-201B,U066,B15,MF1,AV12,1440,2928,2272,416,2720,2528,2544,2544,2448,1648,2096,3168,2452,2452,2452,0,0,0,0,0,0,0,0,0
A,A4076-457B,U066,B15,MF1,AV13,0,16,16,0,0,0,32,16,0,0,0,16,8,8,8,0,0,0,0,0,0,0,0,0
A,A4077-201B,U066,B15,MF2,AV15,96,200,328,72,360,232,256,232,216,144,192,288,220,220,220,0,0,0,0,0,0,0,0,0
A,A4079-138B,U066,B15,MF2,AV17,32,128,144,8,120,152,160,144,144,112,128,152,138,138,138,0,0,0,0,0,0,0,0,0
A,A4079-201B,U066,B15,MF2,AV18,1104,2304,1688,288,2048,1952,1936,1984,1920,1280,1616,2520,1926,1926,1926,0,0,0,0,0,0,0,0,0
A,A4079-457B,U066,B15,MF2,AV19,0,24,8,0,8,16,16,16,8,8,0,8,10,10,10,0,0,0,0,0,0,0,0,0
A,A4081-201B,U066,B15,MF2,AV20,232,424,272,48,312,344,344,328,320,224,288,360,308,308,308,0,0,0,0,0,0,0,0,0
B,A1579-201B,U066,B15,MF2,AV21,320,144,168,112,144,432,392,376,272,416,264,304,342,410,342,274,342,342,342,342,342,205,342,342
B,7V2560-701,U066,B15,MF1,AV37,3560,3520,3520,1408,2280,4280,3872,3896,3128,4664,2552,2872,3640,4368,3640,2912,3640,3640,3640,3640,3640,2184,3640,3640
B,A1580-201B,U066,B15,MF1,AV22,3820,3696,3696,1520,2424,4704,4272,4272,3400,5080,2816,3176,3982,4778,3982,3186,3982,3982,3982,3982,3982,2389,3982,3982
JCIAV,A0136,U066,C10,C10,AV38,0,0,0,0,0,0,0,0,0,0,0,0,864,1037,864,691,864,864,4320,4320,4320,2592,4320,4320
TMMMS,7V1070-707-C4,U090,D13,F4A,JPR8,3060,3835,3835,0,4620,3850,3850,3850,3850,3690,2760,3450,3450,4332,3610,2888,3610,3610,3610,3610,3610,2166,3610,3610
TMMMS,7V2070-707-C3,U090,D13,F4B,JPR9,3060,3835,3835,0,4620,3850,3850,3850,3850,3690,2760,3450,3450,4332,3610,2888,3610,3610,3610,3610,3610,2166,3610,3610
TBMS,7V2440-701-C0,U091,B15,CF5,S597,2903,3597,3597,0,4292,3616,3674,3716,3713,3545,2681,3351,3336,4013,3344,2675,3344,3344,3344,3344,3344,2006,3344,3344
TBMS,7V1440-701-C0,U091,B15,CF5,S598,3034,3837,3837,0,4582,3870,3860,3863,3853,3670,2768,3461,3461,4153,3461,2769,3461,3461,3461,3461,3461,2077,3461,3461
TBMS,7V2450-701-C0,U091,B15,CF6,S599,131,240,240,0,290,254,186,147,140,125,87,110,125,142,118,94,118,118,118,118,118,71,118,118
,,,,,,640440,862577,863327,403222,964897,993665,1317554,1142095,1214794,1199426,1029116,1257544,1231135,1329809,1202463,1071291,1202180,1207521,1214688,1214568,1214568,1057262,1219668,1211955
