Dock code,QSS Item,CUST #,Tech,Cell,Back no,AF0628,AF0705,AF0712,AF0719,AF0726,AF0802,AF0809,AF0816,AF0823,AF0830,AF0906,AF0913,AF0920,AF0927,AF1004,AF1011,AF1018,AF1025,AF1101,AF1108,AF1115,AF1122,AF1129,AF1206
TMMM8,7V2524-707,C028,D12,F57,MLX1,340,425,504,217,173,350,361,304,337,293,283,334,380,401,334,267,334,334,334,334,334,200,334,334
TMMM8,7V2527-707,C028,D12,F55,MLX2,729,910,940,360,954,1140,1388,1160,1377,1138,900,1141,1385,1369,1141,913,1141,1141,1141,1141,1141,685,1141,1141
TMMM8,7V2530-707,C028,D12,F57,MLY3,569,710,1073,426,800,372,456,386,463,386,307,383,443,460,383,306,383,383,383,383,383,230,383,383
TMMM8,7V2534-707,C028,D12,F57,MLX5,36,45,82,25,83,20,40,35,38,27,24,24,38,29,24,19,24,24,24,24,24,14,24,24
TMMM8,7V2537-707,C028,D12,F57,MLX7,125,155,216,96,185,100,95,79,90,79,65,85,107,102,85,68,85,85,85,85,85,51,85,85
TMMM8,7M5320-707,C028,D12,F51,MLR7,1792,2240,2522,1003,2111,2578,3129,2644,3165,2605,2083,2596,3079,3115,2596,2077,2596,2596,2596,2596,2596,1558,2596,2596
TMMM8,7M5324-707,C028,D12,F51,MLR5,340,425,504,217,173,350,361,304,337,293,283,334,380,401,334,267,334,334,334,334,334,200,334,334
TMMM8,7M5327-707,C028,D12,F51,MLR6,729,910,940,360,954,1140,1388,1160,1377,1138,900,1141,1385,1369,1141,913,1141,1141,1141,1141,1141,685,1141,1141
TMMM8,7V1520-707,C028,D12,F55,MLU0,1792,2240,2522,1003,2111,2578,3129,2644,3165,2605,2083,2596,3079,3115,2596,2077,2596,2596,2596,2596,2596,1558,2596,2596
TMMM8,7V1524-707,C028,D12,F55,MLT8,340,425,504,217,173,350,361,304,337,293,283,334,380,401,334,267,334,334,334,334,334,200,334,334
TMMM8,7V1527-707,C028,D12,F55,MLT9,729,910,940,360,954,1140,1388,1160,1377,1138,900,1141,1385,1369,1141,913,1141,1141,1141,1141,1141,685,1141,1141
TMMM8,7V1530-707,C028,D12,F57,MLW7,569,710,1073,426,800,372,456,386,463,386,307,383,443,460,383,306,383,383,383,383,383,230,383,383
TMMM8,7V1534-707,C028,D12,F57,MLV4,36,45,82,25,83,20,40,35,38,27,24,24,38,29,24,19,24,24,24,24,24,14,24,24
TMMM8,7V1537-707,C028,D12,F57,MLV8,125,155,216,96,185,100,95,79,90,79,65,85,107,102,85,68,85,85,85,85,85,51,85,85
ATS,A1393-138B,C029,Misc,C30,QSL211,32,40,48,0,48,48,96,64,80,64,64,80,96,115,96,77,96,96,96,96,96,58,96,0
ATS,A1393-201B,C029,Misc,C30,QSL212,64,80,128,16,96,64,64,80,96,64,48,64,64,58,48,38,48,48,48,48,48,29,48,0
ATS,A1393-457B,C029,Misc,C30,QSL213,0,0,16,0,0,16,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,A0136,C029,C10,C10,5QS600,3024,3780,4176,720,3312,4320,5040,4320,5040,4320,3312,4320,5040,5184,4320,3456,4320,4320,4320,4320,4320,2592,4320,4320
ATS,7M9097-701,C029,B15,C30,QSL266,28,35,56,0,28,56,112,56,84,56,84,84,84,118,98,78,98,98,98,98,98,59,98,0
ATS,7M9090-701,C029,B15,C30,QSL267,84,105,112,28,84,56,56,84,84,84,28,56,84,50,42,34,42,42,42,42,42,25,42,0
ATS,7M9094-701,C029,B15,C30,QSL268,0,0,0,0,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1137-701,C029,B15,MF2,QSL238,16,20,0,0,0,16,48,32,32,48,48,64,64,86,72,58,72,72,72,72,72,43,72,0
ATS,7V1130-701,C029,B15,MF2,QSL239,0,0,16,0,0,16,0,32,32,32,0,0,16,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1134-701,C029,B15,MF2,QSL240,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1127-701,C029,B15,MF2,QSL241,16,20,48,0,48,48,32,32,48,32,0,16,32,19,16,13,16,16,16,16,16,10,16,0
ATS,7V1120-701,C029,B15,MF2,QSL242,64,80,128,16,96,32,64,64,64,32,48,48,48,58,48,38,48,48,48,48,48,29,48,0
ATS,7V1124-701,C029,B15,MF2,QSL243,0,0,16,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
ATS,7V2127-701,C029,B15,MF2,QSL244,16,20,32,0,16,48,80,48,64,48,80,64,80,96,80,64,80,80,80,80,80,48,80,0
ATS,7V2120-701,C029,B15,MF2,QSL245,64,80,112,16,80,64,48,64,80,64,32,64,64,58,48,38,48,48,48,48,48,29,48,0
ATS,7V2124-701,C029,B15,MF2,QSL246,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
ATS,7V2137-701,C029,B15,MF2,QSL247,8,10,24,0,32,8,24,8,16,8,8,0,16,14,12,10,12,12,12,12,12,7,12,0
ATS,7V2130-701,C029,B15,MF2,QSL248,8,10,16,8,8,8,8,8,8,16,0,16,8,14,12,10,12,12,12,12,12,7,12,0
ATS,7V2134-701,C029,B15,MF2,QSL249,8,10,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
ATS,7M5077-701,C029,B15,C30,QSL252,16,20,16,0,16,32,64,48,64,48,64,80,64,86,72,58,72,72,72,72,72,43,72,0
ATS,7M5074-701,C029,B15,C30,QSL253,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1147-701,C029,B15,C30,QSL254,64,80,96,16,80,112,208,112,160,128,144,160,176,221,184,147,184,184,184,184,184,110,184,0
ATS,7V1140-701,C029,B15,C30,QSL255,144,180,240,32,192,144,144,176,176,144,80,128,144,115,96,77,96,96,96,96,96,58,96,0
