Part,Cust #,8/2/2021,8/9/2021,8/16/2021,8/23/2021,8/30/2021,9/6/2021,9/13/2021,9/20/2021,9/27/2021,10/4/2021,10/11/2021,10/18/2021,10/25/2021,11/1/2021,11/8/2021,11/15/2021,11/22/2021,11/29/2021,12/6/2021,12/13/2021,12/20/2021,12/27/2021,1/3/2022,1/10/2022
7V2124-707,C028,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
7M5057-707,U044,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7M5050-707,U044,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7M5054-707,U044,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V1147-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V1140-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V1144-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V2147-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V2140-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V2144-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V1157-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V1150-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V1154-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V2167-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V2160-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V2164-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V2157-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V2150-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7V2154-707,C028,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20,F20
7M5257-707,U003,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1107-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1100-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1104-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1117-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1110-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1114-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1113-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V2117-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V2110-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V2114-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V2113-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
A1557-202B,U006,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06
7M5227-707,C028,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06
7M5220-707,C028,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06
7M5224-707,C028,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06
A1526-201B,U014,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
