7,,Part No.,Cell,Cust,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc
8,,,,,(sec/pc),,,,,
284,A1516-146BF44U006,A1516-146B,F44,U006,,,,,,
285,A1516-201BF44U006,A1516-201B,F44,U006,,,,,,
286,A1516-008BF44U006,A1516-008B,F44,U006,,,,,,
287,A1529-008BF44U006,A1529-008B,F44,U006,,,,,,
288,A1529-146BF44U006,A1529-146B,F44,U006,,,,,,
289,A1529-201BF44U006,A1529-201B,F44,U006,,,,,,
290,7V1740-707F44C007,7V1740-707,F44,C007,,,,,,
291,7V1740-707-C3F44C007,7V1740-707-C3,F44,C007,,,,,,
292,7V1743-707F44C007,7V1743-707,F44,C007,,,,,,
293,7V1748-707F44C007,7V1748-707,F44,C007,,,,,,
294,7V2740-707F44C007,7V2740-707,F44,C007,,,,,,
295,7V2740-707-C3F44C007,7V2740-707-C3,F44,C007,,,,,,
296,7V2743-707F44C007,7V2743-707,F44,C007,,,,,,
297,7V2748-707F44C007,7V2748-707,F44,C007,,,,,,
298,7V1390-707-C3F45U006,7V1390-707-C3,F45,U006,,,,,,
299,7V1390-707-C3F45C007,7V1390-707-C3,F45,C007,,,,,,
300,7V1070-707-A0F46C007,7V1070-707-A0,F46,C007,,,,,,
301,7V2070-707-C3F47C007,7V2070-707-C3,F47,C007,,,,,,
302,7V2077-707F48C007,7V2077-707,F48,C007,,,,,,
303,7V1074-707-A1F48C007,7V1074-707-A1,F48,C007,,,,,,
304,7V2074-707-A3F48C007,7V2074-707-A3,F48,C007,,,,,,
305,7V2079-707-D1F48C007,7V2079-707-D1,F48,C007,,,,,,
306,7V1074-707-C4F46C007,7V1074-707-C4,F46,C007,,,,,,
307,7V1079-707-D1F48C007,7V1079-707-D1,F48,C007,,,,,,
308,7V1920-707F48U006,7V1920-707,F48,U006,,,,,,
309,7V2760-707F48U006,7V2760-707,F48,U006,,,,,,
310,7V1390-707-C3F48U006,7V1390-707-C3,F48,U006,,,,,,
311,7V1390-707-C3F48C028,7V1390-707-C3,F48,C028,,,,,,
312,7V2070-707-C3F49U006,7V2070-707-C3,F49,U006,,,,,,
313,7V2070-707-C3F4BU090,7V2070-707-C3,F4B,U090,,,,,,
314,7V2070-707-C3F4BC007,7V2070-707-C3,F4B,C007,,,,,,
315,7V1070-707-C4F4AU090,7V1070-707-C4,F4A,U090,,,,,,
316,7V1070-707-C4F4AC007,7V1070-707-C4,F4A,C007,,,,,,
317,7V2070-707-C3F4BU006,7V2070-707-C3,F4B,U006,,,,,,
318,7V1480-707-C1F4CC028,7V1480-707-C1,F4C,C028,,,,,,
319,7V1484-707-A2F4CC028,7V1484-707-A2,F4C,C028,,,,,,
320,7V1487-707-B2F4CC028,7V1487-707-B2,F4C,C028,,,,,,
321,7V1390-707-C3F4CC028,7V1390-707-C3,F4C,C028,,,,,,
322,7V1394-707-A2F4CC028,7V1394-707-A2,F4C,C028,,,,,,
323,7V1397-707-B2F4CC028,7V1397-707-B2,F4C,C028,,,,,,
324,7V2480-707-C0F4DC028,7V2480-707-C0,F4D,C028,,,,,,
325,7V2484-707-A0F4DC028,7V2484-707-A0,F4D,C028,,,,,,
326,7V2487-707-B0F4DC028,7V2487-707-B0,F4D,C028,,,,,,
327,7V2700-707F4DC028,7V2700-707,F4D,C028,,,,,,
328,7V2704-707F4DC028,7V2704-707,F4D,C028,,,,,,
329,7V2707-707F4DC028,7V2707-707,F4D,C028,,,,,,
330,7V2210-707F60C007,7V2210-707,F60,C007,,,,,,
331,7V2214-707F60C007,7V2214-707,F60,C007,,,,,,
332,7V1210-707F60C007,7V1210-707,F60,C007,,,,,,
333,7V1214-707F60C007,7V1214-707,F60,C007,,,,,,
334,7V1750-707F60C007,7V1750-707,F60,C007,,,,,,
335,7V1758-707F60C007,7V1758-707,F60,C007,,,,,,
336,7V2750-707F60C007,7V2750-707,F60,C007,,,,,,
337,7V2758-707F60C007,7V2758-707,F60,C007,,,,,,
338,A4074-138BF35U044,A4074-138B,F35,U044,,,,,,
339,A4074-201BF35U044,A4074-201B,F35,U044,,,,,,
340,A4074-457BF35U044,A4074-457B,F35,U044,,,,,,
341,A4074-F2K4F35U044,A4074-F2K4,F35,U044,,,,,,
342,A4075-138BF35U044,A4075-138B,F35,U044,,,,,,
343,A4075-201BF35U044,A4075-201B,F35,U044,,,,,,
344,A4075-457BF35U044,A4075-457B,F35,U044,,,,,,
345,A4075-F2K4F35U044,A4075-F2K4,F35,U044,,,,,,
346,7V1127-707F35C028,7V1127-707,F35,C028,,,,,,
347,7V1120-707F35C028,7V1120-707,F35,C028,,,,,,
348,7V1124-707F35C028,7V1124-707,F35,C028,,,,,,
349,7V2127-707F35C028,7V2127-707,F35,C028,,,,,,
350,7V2120-707F35C028,7V2120-707,F35,C028,,,,,,
351,7V2124-707F35C028,7V2124-707,F35,C028,,,,,,
352,7M5257-707F25U003,7M5257-707,F25,U003,,,,,,
353,7V1107-707F25U044,7V1107-707,F25,U044,,,,,,
354,7V1100-707F25U044,7V1100-707,F25,U044,,,,,,
355,7V1104-707F25U044,7V1104-707,F25,U044,,,,,,
356,7V1107-707F25U044,7V1107-707,F25,U044,,,,,,
357,7V1110-707F25U044,7V1110-707,F25,U044,,,,,,
358,7V1114-707F25U044,7V1114-707,F25,U044,,,,,,
359,7V1113-707F25U044,7V1113-707,F25,U044,,,,,,
360,7V2117-707F25U044,7V2117-707,F25,U044,,,,,,
361,7V2110-707F25U044,7V2110-707,F25,U044,,,,,,
362,7V2114-707F25U044,7V2114-707,F25,U044,,,,,,
363,7V2113-707F25U044,7V2113-707,F25,U044,,,,,,
364,A1557-202BF06U006,A1557-202B,F06,U006,,,,,,
365,7M5227-707F06C028,7M5227-707,F06,C028,,,,,,
366,7M5220-707F06C028,7M5220-707,F06,C028,,,,,,
367,7M5224-707F06C028,7M5224-707,F06,C028,,,,,,
368,A1524-201BIF1U006,A1524-201B,IF1,U006,,,,,,
369,A1533-201BIF1U006,A1533-201B,IF1,U006,,,,,,
