7,,Part No.,Cell,Cust,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc
8,,,,,(sec/pc),,,,,
75,7V1860-701CF4C043,7V1860-701,CF4,C043,50.15504012579173,51.18904012579173,51.13404012579172, , , 
76,7V1860-701CF4U013,7V1860-701,CF4,U013,50.15504012579173,51.18904012579173,51.13404012579172, , , 
77,A1526-201BF51U014,A1526-201B,F51,U014, ,92.31712141981158,94.24138808647827,98.20358808647826, , 
78,7M5290-707F51C029,7M5290-707,F51,C029, ,87.4771214198116,93.33608808647826,91.71358808647825, , 
79,7M5290-707F51C033,7M5290-707,F51,C033, ,87.4771214198116,93.33608808647826,91.71358808647825, , 
80,7M5294-707F51C029,7M5294-707,F51,C029, ,87.4771214198116,93.33608808647826,91.71358808647825, , 
81,7M5294-707F51C033,7M5294-707,F51,C033, ,87.4771214198116,93.33608808647826,91.71358808647825, , 
82,7M5297-707F51C029,7M5297-707,F51,C029, ,87.4771214198116,93.33608808647826,91.71358808647825, , 
83,7M5297-707F51C033,7M5297-707,F51,C033, ,87.4771214198116,93.33608808647826,91.71358808647825, , 
84,7M5300-707F51C029,7M5300-707,F51,C029, ,87.4771214198116,93.33608808647826,91.71358808647825, , 
85,7M5304-707F51C029,7M5304-707,F51,C029, ,87.4771214198116,93.33608808647826,91.71358808647825, , 
86,7M5307-707F51C029,7M5307-707,F51,C029, ,87.4771214198116,93.33608808647826,91.71358808647825, , 
87,7M5120-707F51C007,7M5120-707,F51,C007, ,70.97858808647827,75.51608808647826,87.20358808647826, , 
88,7M5124-707F51C007,7M5124-707,F51,C007, ,70.97858808647827,75.51608808647826,87.20358808647826, , 
89,7M5390-707F51C007,7M5390-707,F51,C007, ,90.04525475314495,85.91108808647824,102.60358808647827, , 
90,7M5398-707F51C007,7M5398-707,F51,C007, ,90.04525475314495,85.91108808647824,102.60358808647827, , 
91,7M5090-707F54C017,7M5090-707,F54,C017, , ,, , , 
92,7M5094-707F54C017,7M5094-707,F54,C017, , ,, , , 
93,7M5370-707F54C017,7M5370-707,F54,C017, , ,, , , 
94,7V1630-707F54C017,7V1630-707,F54,C017, , ,, , , 
95,7V1650-707F54C017,7V1650-707,F54,C017, , ,, , , 
96,7V2630-707F54C017,7V2630-707,F54,C017, , ,, , , 
97,7V2650-707F54C017,7V2650-707,F54,C017, , ,, , , 
98,7M9160-701CF8C033,7M9160-701,CF8,C033,42.71889400921659,48.32889400921659, , , , 
99,7V1910-701CF9C017,7V1910-701,CF9,C017,42.71889400921659,48.32889400921659, , , , 
100,7V1914-701CF9C017,7V1914-701,CF9,C017,42.71889400921659,48.32889400921659, , , , 
101,7V1880-701CF9C017,7V1880-701,CF9,C017,37.768894009216595,38.428894009216584, , , , 
102,7V1884-701CF9C017,7V1884-701,CF9,C017,37.768894009216595,38.428894009216584, , , , 
103,7V2880-701CF9C017,7V2880-701,CF9,C017,41.618894009216596,44.808894009216594, , , , 
104,7V2884-701CF9C017,7V2884-701,CF9,C017,41.618894009216596,44.808894009216594, , , , 
105,7V2890-701CF9C017,7V2890-701,CF9,C017,42.71889400921659,48.32889400921659, , , , 
106,7V2894-701CF9C017,7V2894-701,CF9,C017,42.71889400921659,48.32889400921659, , , , 
107,7V1480-701CF6C029,7V1480-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
108,7V1484-701CF6C029,7V1484-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
109,7V1487-701CF6C029,7V1487-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
110,7V1570-701CF6C029,7V1570-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
111,7V1577-701CF6C029,7V1577-701,CF6,C029,48.620000000000005,49.654,49.599,, , 
112,7V1580-701CF6C029,7V1580-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
113,7V1584-701CF6C029,7V1584-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
114,7V1587-701CF6C029,7V1587-701,CF6,C029,48.620000000000005,49.654,49.599,, , 
115,7V2570-701CF6C029,7V2570-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
116,7V2574-701CF6C029,7V2574-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
117,7V2577-701CF6C029,7V2577-701,CF6,C029,48.620000000000005,49.654,49.599,, , 
118,7V2580-701CF6C029,7V2580-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
119,7V2584-701CF6C029,7V2584-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
120,7V2587-701CF6C029,7V2587-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
121,7V1660-701-C0CF6C029,7V1660-701-C0,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
122,7V1664-701CF6C029,7V1664-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
123,7V1667-701CF6C029,7V1667-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
124,7V1664-701CF6C033,7V1664-701,CF6,C033,53.13576312739592,54.16976312739592,54.11476312739591,, , 
125,7V1667-701CF6C033,7V1667-701,CF6,C033,53.13576312739592,54.16976312739592,54.11476312739591,, , 
126,7V1840-701CF6C029,7V1840-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
127,7V1844-701CF6C029,7V1844-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
128,7V1847-701CF6C029,7V1847-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
129,7V1850-701CF6C029,7V1850-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
130,7V1854-701CF6C029,7V1854-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
131,7V1857-701CF6C029,7V1857-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
132,7V2840-701CF6C029,7V2840-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
133,7V2844-701CF6C029,7V2844-701,CF6,C029,53.13576312739592,54.16976312739592,54.11476312739591,, , 
134,7V2847-701CF6C029,7V2847-701,CF6,C029,48.620000000000005,49.654,49.599,, , 
135,7V1850-701CF6C033,7V1850-701,CF6,C033,53.13576312739592,54.16976312739592,54.11476312739591,, , 
136,7V1854-701CF6C033,7V1854-701,CF6,C033,53.13576312739592,54.16976312739592,54.11476312739591,, , 
137,7V1857-701CF6C033,7V1857-701,CF6,C033,53.13576312739592,54.16976312739592,54.11476312739591,, , 
138,7V2370-701-C0CF6C043,7V2370-701-C0,CF6,C043,58.08576312739592,58.569763127395916,59.526763127395924,, , 
139,7V1370-701-C0CF6C043,7V1370-701-C0,CF6,C043,58.08576312739592,58.569763127395916,59.526763127395924,, , 
140,7V1080-701-C0CF6C043,7V1080-701-C0,CF6,C043,56.43576312739592,57.46976312739592,59.06476312739592,, , 
141,7V1084-701-E0CF6C043,7V1084-701-E0,CF6,C043,56.43576312739592,57.46976312739592,59.06476312739592,, , 
142,7V1074-701-E0CF6C043,7V1074-701-E0,CF6,C043,56.43576312739592,57.46976312739592,59.06476312739592,, , 
143,7V2450-701-C0CF6U091,7V2450-701-C0,CF6,U091,53.13576312739592,54.16976312739592,54.11476312739591,, , 
144,7V2084-701-E0CF6C043,7V2084-701-E0,CF6,C043,54.785763127395924,56.50176312739592,56.22676312739591,, , 
145,7V2590-701CF6C033,7V2590-701,CF6,C033,58.08576312739592,58.569763127395916,59.526763127395924,, , 
146,7V2930-701CF6U013,7V2930-701,CF6,U013,53.57000000000001,54.054,55.01100000000001,, , 
147,7V2200-701CF2C043,7V2200-701,CF2,C043,75.81862165210813,79.55348831877481,82.47582165210814,93.67015498544146, , 
148,7V1070-701-C0CF2C043,7V1070-701-C0,CF2,C043,71.96862165210814,72.1570883187748,80.22522165210812,84.7410883187748, , 
149,7V2080-701-C0CF2C043,7V2080-701-C0,CF2,C043,71.93195498544145,72.08375498544146,80.22522165210812,80.21202165210812, , 
150,7V2440-701-C0CF5U091,7V2440-701-C0,CF5,U091,48.620000000000005,49.654,49.599, , , 
151,7V1440-701-C0CF5U091,7V1440-701-C0,CF5,U091,48.620000000000005,49.654,49.599, , , 
152,7V1660-701-C0CF5C043,7V1660-701-C0,CF5,C043,50.8235635359116,51.85756353591161,51.8025635359116, , , 
153,7V2070-701-C0CF5C043,7V2070-701-C0,CF5,C043,50.27000000000001,51.986000000000004,51.711, , , 
154,7V2074-701-E0CF5C043,7V2074-701-E0,CF5,C043,50.27000000000001,51.986000000000004,51.711, , , 
155,7V2390-701-C0CF5U013,7V2390-701-C0,CF5,U013,50.8235635359116,51.85756353591161,51.8025635359116, , , 
156,7V2390-701-C0CF5C043,7V2390-701-C0,CF5,C043,50.8235635359116,51.85756353591161,51.8025635359116, , , 
