,Cell,Part,Cust,Cust #,Prog #,Prog,,Part1,Parent Cell,Parent Part,,1,2,3,4,5,6,7
F517M5398-707C007,F51,7M5398-707,TMMK,C007,947B,LEXUS ES,D12,7M539,,,,,90.04525475,85.91108809,102.6035881,,,
F51Service,F51,Service,,,,,,,,,,,115.3819214,114.0710881,118.2675881,,,
F527M5240-707U013,F52,7M5240-707,TBCA RAV4,U013,320B,RAV4,D12,7M524,,,,,70.213,74.7945,92.4,,,
F527M5240-707C043,F52,7M5240-707,Adient Kentucky,C043,981B,RAV4,D12,7M524,,,,,70.213,74.7945,92.4,,,
F52Service,F52,Service,,,,,,,,,,,70.213,74.7945,92.4,,,
F547M5090-707C017,F54,7M5090-707,Subaru Tribeca,C017,TR8,SUBARU TRIBECA,SIR,7M509,,,,,102.4099622,109.2537956,106.8062956,,,
F547M5094-707C017,F54,7M5094-707,Subaru Tribeca,C017,TR8,SUBARU TRIBECA,SIR,7M509,,,,,102.4099622,109.2537956,106.8062956,,,
F547M5370-707C017,F54,7M5370-707,Subaru Tribeca,C017,TR8,SUBARU TRIBECA,D12,7M537,,,,,102.9086289,109.2537956,107.8109622,,,
F547V1650-707C017,F54,7V1650-707,Subaru Tribeca,C017,TR8,SUBARU TRIBECA,D12,7V165,,,,,103.9206289,109.2537956,106.8062956,,,
F547V2650-707C017,F54,7V2650-707,Subaru Tribeca,C017,TR8,SUBARU TRIBECA,D12,7V265,,,,,103.9206289,109.2537956,106.8062956,,,
F547V1630-707C017,F54,7V1630-707,Subaru Tribeca,C017,TP1,SUBARU TRIBECA,D9CPF,7V163,SA5,7V1170-708,,,117.2599622,120.8037956,123.2549622,,,
F547V2630-707C017,F54,7V2630-707,Subaru Tribeca,C017,TP1,SUBARU TRIBECA,D9CPF,7V263,SA5,7V2170-708,,,117.2599622,120.8037956,123.2549622,,,
F54Service,F54,Service,,,,,,,,,,,117.2599622,120.8037956,123.2549622,,,
F557V1520-707C028,F55,7V1520-707,TMMI,C028,550B,HIGHLANDER,D12,7V152,,,,42.08443882,,,,,,
F557V1524-707C028,F55,7V1524-707,TMMI,C028,550B,HIGHLANDER,D12,7V152,,,,42.08443882,,,,,,
F557V1527-707C028,F55,7V1527-707,TMMI,C028,550B,HIGHLANDER,D12,7V152,,,,42.08443882,,,,,,
F557V2527-707C028,F55,7V2527-707,TMMI,C028,550B,HIGHLANDER,D12,7V252,,,,42.08443882,,,,,,
F557V2494-707C028,F55,7V2494-707,TMMI,C028,550B,HIGHLANDER,D12,7V249,,,,42.08443882,,,,,,
F557V1494-707C028,F55,7V1494-707,TMMI,C028,550B,HIGHLANDER,D12,7V149,,,,42.08443882,,,,,,
F557V1497-707C028,F55,7V1497-707,TMMI,C028,550B,HIGHLANDER,D12,7V149,,,,42.08443882,,,,,,
F557V1510-707C028,F55,7V1510-707,TMMI,C028,550B,HIGHLANDER,D12,7V151,,,,42.08443882,,,,,,
F557V1514-707C028,F55,7V1514-707,TMMI,C028,550B,HIGHLANDER,D12,7V151,,,,42.08443882,,,,,,
F557V1517-707C028,F55,7V1517-707,TMMI,C028,550B,HIGHLANDER,D12,7V151,,,,42.08443882,,,,,,
F557V2510-707C028,F55,7V2510-707,TMMI,C028,550B,HIGHLANDER,D12,7V251,,,,42.08443882,,,,,,
F557V2514-707C028,F55,7V2514-707,TMMI,C028,550B,HIGHLANDER,D12,7V251,,,,42.08443882,,,,,,
F557V2517-707C028,F55,7V2517-707,TMMI,C028,550B,HIGHLANDER,D12,7V251,,,,42.08443882,,,,,,
F557V1530-707C028,F55,7V1530-707,TMMI,C028,550B,HIGHLANDER,D12,7V153,,,,42.08443882,,,,,,
F557V1534-707C028,F55,7V1534-707,TMMI,C028,550B,HIGHLANDER,D12,7V153,,,,42.08443882,,,,,,
F557V1537-707C028,F55,7V1537-707,TMMI,C028,550B,HIGHLANDER,D12,7V153,,,,42.08443882,,,,,,
F557V2530-707C028,F55,7V2530-707,TMMI,C028,550B,HIGHLANDER,D12,7V253,,,,42.08443882,,,,,,
F557V2534-707C028,F55,7V2534-707,TMMI,C028,550B,HIGHLANDER,D12,7V253,,,,42.08443882,,,,,,
F557V2537-707C028,F55,7V2537-707,TMMI,C028,550B,HIGHLANDER,D12,7V253,,,,42.08443882,,,,,,
F55Service,F55,Service,,,,,,,,,,42.08443882,,,,,,
F567V1490-707C028,F56,7V1490-707,TMMI,C028,550B,HIGHLANDER,D12,7V149,,,,41.63788312,,,,,,
F567V2490-707C028,F56,7V2490-707,TMMI,C028,550B,HIGHLANDER,D12,7V249,,,,41.63788312,,,,,,
F567V2494-707C028,F56,7V2494-707,TMMI,C028,550B,HIGHLANDER,D12,7V249,,,,41.63788312,,,,,,
F567V2497-707C028,F56,7V2497-707,TMMI,C028,550B,HIGHLANDER,D12,7V249,,,,41.63788312,,,,,,
F567V2780-707C028,F56,7V2780-707,TMMI,C028,096D,HIGHLANDER,D9CPF,7V278,,,,44.93788312,,,,,,
F567V2784-707C028,F56,7V2784-707,TMMI,C028,096D,HIGHLANDER,D9CPF,7V278,,,,44.93788312,,,,,,
F567V2787-707C028,F56,7V2787-707,TMMI,C028,096D,HIGHLANDER,D9CPF,7V278,,,,44.93788312,,,,,,
F567V1510-707C028,F56,7V1510-707,TMMI,C028,550B,HIGHLANDER,D12,7V151,,,,44.93788312,,,,,,
F567V1514-707C028,F56,7V1514-707,TMMI,C028,550B,HIGHLANDER,D12,7V151,,,,41.63788312,,,,,,
F567V1517-707C028,F56,7V1517-707,TMMI,C028,550B,HIGHLANDER,D12,7V151,,,,41.63788312,,,,,,
F567V2510-707C028,F56,7V2510-707,TMMI,C028,550B,HIGHLANDER,D12,7V251,,,,44.93788312,,,,,,
F567V2514-707C028,F56,7V2514-707,TMMI,C028,550B,HIGHLANDER,D12,7V251,,,,44.93788312,,,,,,
F567V2517-707C028,F56,7V2517-707,TMMI,C028,550B,HIGHLANDER,D12,7V251,,,,44.93788312,,,,,,
F56Service,F56,Service,,,,,,,,,,44.93788312,,,,,,
F577V1494-707C028,F57,7V1494-707,TMMI,C028,550B,HIGHLANDER,D12,7V149,,,,43.34030625,,,,,,
F577V1497-707C028,F57,7V1497-707,TMMI,C028,550B,HIGHLANDER,D12,7V149,,,,43.34030625,,,,,,
F577V1510-707C028,F57,7V1510-707,TMMI,C028,550B,HIGHLANDER,D12,7V151,,,,43.34030625,,,,,,
F577V1514-707C028,F57,7V1514-707,TMMI,C028,550B,HIGHLANDER,D12,7V151,,,,43.34030625,,,,,,
F577V1517-707C028,F57,7V1517-707,TMMI,C028,550B,HIGHLANDER,D12,7V151,,,,43.34030625,,,,,,
F577V1530-707C028,F57,7V1530-707,TMMI,C028,550B,HIGHLANDER,D12,7V153,,,,43.34030625,,,,,,
F577V1534-707C028,F57,7V1534-707,TMMI,C028,550B,HIGHLANDER,D12,7V153,,,,43.34030625,,,,,,
F577V1537-707C028,F57,7V1537-707,TMMI,C028,550B,HIGHLANDER,D12,7V153,,,,43.34030625,,,,,,
F577V2510-707C028,F57,7V2510-707,TMMI,C028,550B,HIGHLANDER,D12,7V251,,,,43.34030625,,,,,,
F577V2514-707C028,F57,7V2514-707,TMMI,C028,550B,HIGHLANDER,D12,7V251,,,,43.34030625,,,,,,
F577V2517-707C028,F57,7V2517-707,TMMI,C028,550B,HIGHLANDER,D12,7V251,,,,43.34030625,,,,,,
F577V2520-707C028,F57,7V2520-707,TMMI,C028,550B,HIGHLANDER,D12,7V252,,,,43.34030625,,,,,,
F577V2524-707C028,F57,7V2524-707,TMMI,C028,550B,HIGHLANDER,D12,7V252,,,,43.34030625,,,,,,
F577V2530-707C028,F57,7V2530-707,TMMI,C028,550B,HIGHLANDER,D12,7V253,,,,43.34030625,,,,,,
F577V2534-707C028,F57,7V2534-707,TMMI,C028,550B,HIGHLANDER,D12,7V253,,,,43.34030625,,,,,,
F577V2537-707C028,F57,7V2537-707,TMMI,C028,550B,HIGHLANDER,D12,7V253,,,,43.34030625,,,,,,
F577V1780-707C028,F57,7V1780-707,TMMI,C028,096D,HIGHLANDER,D9CPF,7V178,,,,46.64030625,,,,,,
F577V1784-707C028,F57,7V1784-707,TMMI,C028,096D,HIGHLANDER,D9CPF,7V178,,,,46.64030625,,,,,,
F577V1787-707C028,F57,7V1787-707,TMMI,C028,096D,HIGHLANDER,D9CPF,7V178,,,,46.64030625,,,,,,
F57Service,F57,Service,,,,,,,,,,46.64030625,,,,,,
F587M5330-707C028,F58,7M5330-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7M533,,,,,86.30090724,91.67807391,92.42057391,,,
F587M5334-707C028,F58,7M5334-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7M533,,,,,86.30090724,91.67807391,92.42057391,,,
F587M5337-707C028,F58,7M5337-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7M533,,,,,86.30090724,91.67807391,92.42057391,,,
F587M5344-707C028,F58,7M5344-707,TMMI Taiwan,C028,500B,SIENNA,D12,7M534,,,,,79.68033333,85.0575,85.8,,,
F587M5347-707C028,F58,7M5347-707,TMMI Taiwan,C028,500B,SIENNA,D12,7M534,,,,,79.68033333,85.0575,85.8,,,
F587V1610-707C028,F58,7V1610-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7V161,,,,,96.61673268,123.706066,115.4047327,,,
F587V1614-707C028,F58,7V1614-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7V161,,,,,96.61673268,123.706066,115.4047327,,,
F587V1616-707C028,F58,7V1616-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7V161,,,,,96.61673268,123.706066,115.4047327,,,
F587V1617-707C028,F58,7V1617-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7V161,,,,,96.61673268,123.706066,115.4047327,,,
F587V1624-707C028,F58,7V1624-707,TMMI Taiwan,C028,500B,SIENNA,D12,7V162,,,,,96.61673268,123.706066,115.4047327,,,
F587V1626-707C028,F58,7V1626-707,TMMI Taiwan,C028,500B,SIENNA,D12,7V162,,,,,96.61673268,123.706066,115.4047327,,,
F587V1627-707C028,F58,7V1627-707,TMMI Taiwan,C028,500B,SIENNA,D12,7V162,,,,,96.61673268,123.706066,115.4047327,,,
F587V2610-707C028,F58,7V2610-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7V261,,,,,96.61673268,123.706066,115.4047327,,,
F587V2614-707C028,F58,7V2614-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7V261,,,,,96.61673268,123.706066,115.4047327,,,
F587V2616-707C028,F58,7V2616-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7V261,,,,,96.61673268,123.706066,115.4047327,,,
F587V2617-707C028,F58,7V2617-707,TMMI Taiwan/FMVSS,C028,500B,SIENNA,D12,7V261,,,,,96.61673268,123.706066,115.4047327,,,
F587V2624-707C028,F58,7V2624-707,TMMI Taiwan,C028,500B,SIENNA,D12,7V262,,,,,96.61673268,123.706066,115.4047327,,,
F587V2626-707C028,F58,7V2626-707,TMMI Taiwan,C028,500B,SIENNA,D12,7V262,,,,,96.61673268,123.706066,115.4047327,,,
F587V2627-707C028,F58,7V2627-707,TMMI Taiwan,C028,500B,SIENNA,D12,7V262,,,,,96.61673268,123.706066,115.4047327,,,
F58Service,F58,Service,,,,,,,,,,,96.61673268,123.706066,115.4047327,,,
F077M5040-707U066,F07,7M5040-707,JCI Avanzar (TMMTX),U066,480A,"TUNDRA B, C & D",SIR,7M504,,,,,85.11111111,95.66666667,117.3333333,,,
F077M5067-707U066,F07,7M5067-707,JCI Avanzar (TMMTX),U066,480A,"TUNDRA B, C & D",SIR,7M506,,,,,110,112.3333333,121.7777778,,,
F077M5060-707U066,F07,7M5060-707,JCI Avanzar (TMMTX),U066,480A,"TUNDRA B, C & D",SIR,7M506,,,,,110,112.3333333,121.7777778,,,
F077M5064-707U066,F07,7M5064-707,JCI Avanzar (TMMTX),U066,480A,"TUNDRA B, C & D",SIR,7M506,,,,,110,112.3333333,121.7777778,,,
F077M5077-707C029,F07,7M5077-707,ATS (TRIM LAW)  (TMMI M),C029,291B,SEQUOIA,D6,7M507,,,,,142.6666667,152.3333333,147.5555556,,,
F077M5074-707C029,F07,7M5074-707,ATS (TRIM LAW)  (TMMI M),C029,291B,SEQUOIA,D6,7M507,,,,,142.6666667,152.3333333,147.5555556,,,
F07Service,F07,Service,,,Service,,,,,,,,142.6666667,152.3333333,147.5555556,,,
C10A0136C029,C10,A0136,ATS,C029,128B,HIGHLANDER,C10,A0136,,,,8,,,,,,
C107V2497-701C029,C10,7V2497-701,ATS,C029,550B,HIGHLANDER,B15,7V249,,,,8,,,,,,
C107V2490-701C029,C10,7V2490-701,ATS,C029,550B,HIGHLANDER,B15,7V249,,,,8,,,,,,
C107V2494-701C029,C10,7V2494-701,ATS,C029,550B,HIGHLANDER,B15,7V249,,,,8,,,,,,
C107V2517-701C029,C10,7V2517-701,ATS,C029,550B,HIGHLANDER,B15,7V251,,,,8,,,,,,
C107V2510-701C029,C10,7V2510-701,ATS,C029,550B,HIGHLANDER,B15,7V251,,,,8,,,,,,
C107V2514-701C029,C10,7V2514-701,ATS,C029,550B,HIGHLANDER,B15,7V251,,,,8,,,,,,
C107V2500-701C029,C10,7V2500-701,ATS,C029,550B,HIGHLANDER,B15,7V250,,,,8,,,,,,
C107V2504-701C029,C10,7V2504-701,ATS,C029,550B,HIGHLANDER,B15,7V250,,,,8,,,,,,
C107V2507-701C029,C10,7V2507-701,ATS,C029,550B,HIGHLANDER,B15,7V250,,,,8,,,,,,
C107M5297-701C029,C10,7M5297-701,ATS,C029,550B,HIGHLANDER,B15,7M529,,,,8,,,,,,
C107M5290-701C029,C10,7M5290-701,ATS,C029,550B,HIGHLANDER,B15,7M529,,,,8,,,,,,
C107M5294-701C029,C10,7M5294-701,ATS,C029,550B,HIGHLANDER,B15,7M529,,,,8,,,,,,
C107M5317-701C029,C10,7M5317-701,ATS,C029,550B,HIGHLANDER,B15,7M531,,,,8,,,,,,
C107M5310-701C029,C10,7M5310-701,ATS,C029,550B,HIGHLANDER,B15,7M531,,,,8,,,,,,
C107M5314-701C029,C10,7M5314-701,ATS,C029,550B,HIGHLANDER,B15,7M531,,,,8,,,,,,
C107M5307-701C029,C10,7M5307-701,ATS,C029,550B,HIGHLANDER,B15,7M530,,,,8,,,,,,
C107M5300-701C029,C10,7M5300-701,ATS,C029,550B,HIGHLANDER,B15,7M530,,,,8,,,,,,
C107M5304-701C029,C10,7M5304-701,ATS,C029,550B,HIGHLANDER,B15,7M530,,,,8,,,,,,
C107V1497-701C029,C10,7V1497-701,ATS,C029,550B,HIGHLANDER,B15,7V149,,,,8.675,,,,,,
C107V1490-701C029,C10,7V1490-701,ATS,C029,550B,HIGHLANDER,B15,7V149,,,,8.675,,,,,,
C107V1494-701C029,C10,7V1494-701,ATS,C029,550B,HIGHLANDER,B15,7V149,,,,8.675,,,,,,
C107V1517-701C029,C10,7V1517-701,ATS,C029,550B,HIGHLANDER,B15,7V151,,,,8,,,,,,
C107V1510-701C029,C10,7V1510-701,ATS,C029,550B,HIGHLANDER,B15,7V151,,,,8,,,,,,
C107V1514-701C029,C10,7V1514-701,ATS,C029,550B,HIGHLANDER,B15,7V151,,,,8,,,,,,
C107V1507-701C029,C10,7V1507-701,ATS,C029,550B,HIGHLANDER,B15,7V150,,,,8,,,,,,
C107V1500-701C029,C10,7V1500-701,ATS,C029,550B,HIGHLANDER,B15,7V150,,,,8,,,,,,
C107V1504-701C029,C10,7V1504-701,ATS,C029,550B,HIGHLANDER,B15,7V150,,,,8,,,,,,
C107V2524-701C029,C10,7V2524-701,ATS,C029,550B,HIGHLANDER,B15,7V252,,,,8,,,,,,
C107V2527-701C029,C10,7V2527-701,ATS,C029,550B,HIGHLANDER,B15,7V252,,,,8,,,,,,
C107V2520-701C029,C10,7V2520-701,ATS,C029,550B,HIGHLANDER,B15,7V252,,,,8,,,,,,
C107V2537-701C029,C10,7V2537-701,ATS,C029,550B,HIGHLANDER,B15,7V253,,,,8,,,,,,
C107V2550-701C029,C10,7V2550-701,ATS,C029,550B,HIGHLANDER,B15,7V255,,,,8,,,,,,
C107V2554-701C029,C10,7V2554-701,ATS,C029,550B,HIGHLANDER,B15,7V255,,,,8,,,,,,
C107V2557-701C029,C10,7V2557-701,ATS,C029,550B,HIGHLANDER,B15,7V255,,,,8,,,,,,
C107V2530-701C029,C10,7V2530-701,ATS,C029,550B,HIGHLANDER,B15,7V253,,,,8,,,,,,
C107V2534-701C029,C10,7V2534-701,ATS,C029,550B,HIGHLANDER,B15,7V253,,,,8,,,,,,
C107V2547-701C029,C10,7V2547-701,ATS,C029,550B,HIGHLANDER,B15,7V254,,,,8,,,,,,
C107V2540-701C029,C10,7V2540-701,ATS,C029,550B,HIGHLANDER,B15,7V254,,,,8,,,,,,
C107V2544-701C029,C10,7V2544-701,ATS,C029,550B,HIGHLANDER,B15,7V254,,,,8,,,,,,
C107M5324-701C029,C10,7M5324-701,ATS,C029,550B,HIGHLANDER,B15,7M532,,,,8,,,,,,
C107M5327-701C029,C10,7M5327-701,ATS,C029,550B,HIGHLANDER,B15,7M532,,,,8,,,,,,
C107M5320-701C029,C10,7M5320-701,ATS,C029,550B,HIGHLANDER,B15,7M532,,,,8,,,,,,
C107M9144-701C029,C10,7M9144-701,ATS,C029,550B,HIGHLANDER,B15,7M914,,,,8.675,,,,,,
C107M9147-701C029,C10,7M9147-701,ATS,C029,550B,HIGHLANDER,B15,7M914,,,,8.675,,,,,,
C107M9140-701C029,C10,7M9140-701,ATS,C029,550B,HIGHLANDER,B15,7M914,,,,8.675,,,,,,
C107V1537-701C029,C10,7V1537-701,ATS,C029,550B,HIGHLANDER,B15,7V153,,,,8,,,,,,
C107V1530-701C029,C10,7V1530-701,ATS,C029,550B,HIGHLANDER,B15,7V153,,,,8,,,,,,
C107V1534-701C029,C10,7V1534-701,ATS,C029,550B,HIGHLANDER,B15,7V153,,,,8,,,,,,
C107V1547-701C029,C10,7V1547-701,ATS,C029,550B,HIGHLANDER,B15,7V154,,,,8,,,,,,
C107V1540-701C029,C10,7V1540-701,ATS,C029,550B,HIGHLANDER,B15,7V154,,,,8,,,,,,
C107V1544-701C029,C10,7V1544-701,ATS,C029,550B,HIGHLANDER,B15,7V154,,,,8,,,,,,
C107V1557-701C029,C10,7V1557-701,ATS,C029,550B,HIGHLANDER,B15,7V155,,,,8,,,,,,
C107V1550-701C029,C10,7V1550-701,ATS,C029,550B,HIGHLANDER,B15,7V155,,,,8,,,,,,
C107V1554-701C029,C10,7V1554-701,ATS,C029,550B,HIGHLANDER,B15,7V155,,,,8,,,,,,
C10730428-067C007,C10,730428-067,TMMK,C007,241B,LEXUS,Misc,73042,,,,6.888888889,,,,,,
C10A0136C033,C10,A0136,TISA,C033,128B,HIGHLANDER,C10,A0136,,,,8,,,,,,
C107V2497-701C033,C10,7V2497-701,TISA,C033,550B,HIGHLANDER,B15,7V249,,,,8,,,,,,
C107V2490-701C033,C10,7V2490-701,TISA,C033,550B,HIGHLANDER,B15,7V249,,,,8,,,,,,
C107V2494-701C033,C10,7V2494-701,TISA,C033,550B,HIGHLANDER,B15,7V249,,,,8,,,,,,
C107V2517-701C033,C10,7V2517-701,TISA,C033,550B,HIGHLANDER,,7V251,,,,8,,,,,,
C107V2510-701C033,C10,7V2510-701,TISA,C033,550B,HIGHLANDER,,7V251,,,,8,,,,,,
C107V2514-701C033,C10,7V2514-701,TISA,C033,550B,HIGHLANDER,,7V251,,,,8,,,,,,
C107V2507-701C033,C10,7V2507-701,TISA,C033,550B,HIGHLANDER,,7V250,,,,8,,,,,,
C107V2500-701C033,C10,7V2500-701,TISA,C033,550B,HIGHLANDER,,7V250,,,,8,,,,,,
C107V2504-701C033,C10,7V2504-701,TISA,C033,550B,HIGHLANDER,,7V250,,,,8,,,,,,
C107M5297-701C033,C10,7M5297-701,TISA,C033,550B,HIGHLANDER,B15,7M529,,,,8,,,,,,
C107M5290-701C033,C10,7M5290-701,TISA,C033,550B,HIGHLANDER,B15,7M529,,,,8,,,,,,
C107M5294-701C033,C10,7M5294-701,TISA,C033,550B,HIGHLANDER,B15,7M529,,,,8,,,,,,
C107M5317-701C033,C10,7M5317-701,TISA,C033,550B,HIGHLANDER,,7M531,,,,8,,,,,,
C107M5310-701C033,C10,7M5310-701,TISA,C033,550B,HIGHLANDER,,7M531,,,,8,,,,,,
C107M5314-701C033,C10,7M5314-701,TISA,C033,550B,HIGHLANDER,,7M531,,,,8,,,,,,
C107M5307-701C033,C10,7M5307-701,TISA,C033,550B,HIGHLANDER,,7M530,,,,8,,,,,,
C107M5300-701C033,C10,7M5300-701,TISA,C033,550B,HIGHLANDER,,7M530,,,,8,,,,,,
C107M5304-701C033,C10,7M5304-701,TISA,C033,550B,HIGHLANDER,,7M530,,,,8,,,,,,
C107V1497-701C033,C10,7V1497-701,TISA,C033,550B,HIGHLANDER,B15,7V149,,,,8.675,,,,,,
C107V1490-701C033,C10,7V1490-701,TISA,C033,550B,HIGHLANDER,B15,7V149,,,,8.675,,,,,,
C107V1494-701C033,C10,7V1494-701,TISA,C033,550B,HIGHLANDER,B15,7V149,,,,8.675,,,,,,
C107V1517-701C033,C10,7V1517-701,TISA,C033,550B,HIGHLANDER,,7V151,,,,8,,,,,,
C107V1510-701C033,C10,7V1510-701,TISA,C033,550B,HIGHLANDER,,7V151,,,,8,,,,,,
C107V1514-701C033,C10,7V1514-701,TISA,C033,550B,HIGHLANDER,,7V151,,,,8,,,,,,
C107V1507-701C033,C10,7V1507-701,TISA,C033,550B,HIGHLANDER,,7V150,,,,8,,,,,,
C107V1500-701C033,C10,7V1500-701,TISA,C033,550B,HIGHLANDER,,7V150,,,,8,,,,,,
C107V1504-701C033,C10,7V1504-701,TISA,C033,550B,HIGHLANDER,,7V150,,,,8,,,,,,
C107V2527-701C033,C10,7V2527-701,TISA,C033,550B,HIGHLANDER,B15,7V252,,,,8,,,,,,
C107V2520-701C033,C10,7V2520-701,TISA,C033,550B,HIGHLANDER,B15,7V252,,,,8,,,,,,
C107V2524-701C033,C10,7V2524-701,TISA,C033,550B,HIGHLANDER,B15,7V252,,,,8,,,,,,
C107V2537-701C033,C10,7V2537-701,TISA,C033,550B,HIGHLANDER,,7V253,,,,8,,,,,,
C107V2550-701C033,C10,7V2550-701,TISA,C033,550B,HIGHLANDER,,7V255,,,,8,,,,,,
C107V2554-701C033,C10,7V2554-701,TISA,C033,550B,HIGHLANDER,,7V255,,,,8,,,,,,
C107V2557-701C033,C10,7V2557-701,TISA,C033,550B,HIGHLANDER,,7V255,,,,8,,,,,,
C107V2530-701C033,C10,7V2530-701,TISA,C033,550B,HIGHLANDER,,7V253,,,,8,,,,,,
C107V2534-701C033,C10,7V2534-701,TISA,C033,550B,HIGHLANDER,,7V253,,,,8,,,,,,
C107V2547-701C033,C10,7V2547-701,TISA,C033,550B,HIGHLANDER,,7V254,,,,8,,,,,,
C107V2540-701C033,C10,7V2540-701,TISA,C033,550B,HIGHLANDER,,7V254,,,,8,,,,,,
C107V2544-701C033,C10,7V2544-701,TISA,C033,550B,HIGHLANDER,,7V254,,,,8,,,,,,
C107M5324-701C033,C10,7M5324-701,TISA,C033,550B,HIGHLANDER,B15,7M532,,,,8,,,,,,
C107M5327-701C033,C10,7M5327-701,TISA,C033,550B,HIGHLANDER,B15,7M532,,,,8,,,,,,
C107M5320-701C033,C10,7M5320-701,TISA,C033,550B,HIGHLANDER,B15,7M532,,,,8,,,,,,
C107M9144-701C033,C10,7M9144-701,TISA,C033,550B,HIGHLANDER,B15,7M914,,,,8.675,,,,,,
C107M9147-701C033,C10,7M9147-701,TISA,C033,550B,HIGHLANDER,B15,7M914,,,,8.675,,,,,,
C107M9140-701C033,C10,7M9140-701,TISA,C033,550B,HIGHLANDER,B15,7M914,,,,8.675,,,,,,
C107V1537-701C033,C10,7V1537-701,TISA,C033,550B,HIGHLANDER,,7V153,,,,8,,,,,,
C107V1530-701C033,C10,7V1530-701,TISA,C033,550B,HIGHLANDER,,7V153,,,,8,,,,,,
C107V1534-701C033,C10,7V1534-701,TISA,C033,550B,HIGHLANDER,,7V153,,,,8,,,,,,
C107V1547-701C033,C10,7V1547-701,TISA,C033,550B,HIGHLANDER,,7V154,,,,8,,,,,,
C107V1540-701C033,C10,7V1540-701,TISA,C033,550B,HIGHLANDER,,7V154,,,,8,,,,,,
C107V1544-701C033,C10,7V1544-701,TISA,C033,550B,HIGHLANDER,,7V154,,,,8,,,,,,
C107V1557-701C033,C10,7V1557-701,TISA,C033,550B,HIGHLANDER,,7V155,,,,8,,,,,,
C107V1550-701C033,C10,7V1550-701,TISA,C033,550B,HIGHLANDER,,7V155,,,,8,,,,,,
C107V1554-701C033,C10,7V1554-701,TISA,C033,550B,HIGHLANDER,,7V155,,,,8,,,,,,
C10Service,C10,Service,,,,,,,,,,8,,,,,,
C30AA1630-201BU014,C30A,A1630-201B,TB Elmira,U014,760A,LEXUS RX,B15C,A1630,AA08,A0607,,,53.35719214,53.35719214,58.64819214,,,
C30AA1531-201BU014,C30A,A1531-201B,TB Elmira,U014,760A,LEXUS RX,B15C,A1531,AA08,A0677,,,55.7016588,55.7016588,60.29819214,,,
C30AA1518-201BU014,C30A,A1518-201B,TB Elmira,U014,760A,LEXUS RX,B15C,A1518,AA08,A0677,,,55.6796588,55.6796588,59.69539214,,,
C30BA1630-201BU014,C30B,A1630-201B,TB Elmira,U014,760A,LEXUS RX,B15C,A1630,AA08,A0607,,53.35719214,53.35719214,58.64819214,,,,
C30BA1531-201BU014,C30B,A1531-201B,TB Elmira,U014,760A,LEXUS RX,B15C,A1531,AA08,A0677,,55.7016588,55.7016588,60.29819214,,,,
C30BA1518-201BU014,C30B,A1518-201B,TB Elmira,U014,760A,LEXUS RX,B15C,A1518,AA08,A0677,,55.6796588,55.6796588,59.69539214,,,,
C30BA1393-138BC029,C30B,A1393-138B,ATS,C029,291B,SEQUOIA,,A1393,,,,35.43308499,37.99647785,37.99647785,,,,
C30BA1393-201BC029,C30B,A1393-201B,ATS,C029,291B,SEQUOIA,,A1393,,,,35.43308499,37.99647785,37.99647785,,,,
C30BA1393-457BC029,C30B,A1393-457B,ATS,C029,291B,SEQUOIA,,A1393,,,,35.43308499,37.99647785,37.99647785,,,,
C30B7M9090-701C029,C30B,7M9090-701,ATS,C029,291B,SEQUOIA,B15+B15,7M909,AA08,7M5220-701,,34.63351595,36.65322071,51.53873499,,,,
C30B7M9094-701C029,C30B,7M9094-701,ATS,C029,291B,SEQUOIA,B15+B15,7M909,AA08,7M5224-701,,34.63351595,36.65322071,51.53873499,,,,
C30B7M9097-701C029,C30B,7M9097-701,ATS,C029,291B,SEQUOIA,B15+B15,7M909,AA08,7M5227-701,,34.63351595,36.65322071,51.53873499,,,,
C30B7M5077-701C029,C30B,7M5077-701,ATS,C029,291B,SEQUOIA,B15C,7M507,AA08,,,44.8155088,50.18149214,48.73114214,,,,
C30B7M5074-701C029,C30B,7M5074-701,ATS,C029,291B,SEQUOIA,B15C,7M507,AA08,,,44.8155088,50.18149214,48.73114214,,,,
C30B7V1147-701C029,C30B,7V1147-701,ATS,C029,291B,SEQUOIA,B15C,7V114,AA08,,,44.4096088,49.36969214,47.51344214,,,,
C30B7V1140-701C029,C30B,7V1140-701,ATS,C029,291B,SEQUOIA,B15C,7V114,AA08,,,44.4096088,49.36969214,47.51344214,,,,
C30B7V1144-701C029,C30B,7V1144-701,ATS,C029,291B,SEQUOIA,B15C,7V114,AA08,,,44.4096088,49.36969214,47.51344214,,,,
