,Cell,Part,Cust,Cust #,Prog #,Prog,,Part1,Parent Cell,Parent Part,,1,2,3,4,5,6,7
F4G7V2710-707-,F4G,7V2710-707,MTMUS,-,J34A,CX-X,D13,7V271,AA06,,,61.229,,,,,,
F4G7V2720-707-,F4G,7V2720-707,MTMUS,-,J34A,CX-X,D13,7V272,AA06,,,61.229,,,,,,
F4G7V1710-707-,F4G,7V1710-707,MTMUS,-,J34A,CX-X,D13,7V171,AA06,,,61.229,,,,,,
F4G7V1720-707-,F4G,7V1720-707,MTMUS,-,J34A,CX-X,D13,7V172,AA06,,,61.229,,,,,,
F43A1507-201BU041,F43,A1507-201B,TMMBC,U041,989A,TACOMA,D13,A1507,AA06,,,,63.64970493,68.48970493,,,,
F43A1507-201BU044,F43,A1507-201B,TMMTX,U044,989A,TACOMA,D13,A1507,AA06,,,,63.64970493,68.48970493,,,,
F43A1502-105BU041,F43,A1502-105B,TMMBC,U041,989A,TACOMA,D13,A1502,AA06,,,,79.11473963,85.63957296,,,,
F43A1502-105BU044,F43,A1502-105B,TMMTX,U044,989A,TACOMA,D13,A1502,AA06,,,,69.91773968,69.10007301,,,,
F43A1502-201BU044,F43,A1502-201B,TMMTX,U044,989A,TACOMA,D13,A1502,AA06,,,,69.91773968,69.10007301,,,,
F43A1502-201BU041,F43,A1502-201B,TMMBC,U041,989A,TACOMA,D13,A1502,AA06,,,,69.91773968,69.10007301,,,,
F43A1500-201BU070,F43,A1500-201B,TMMGT,U070,774B,TACOMA,D13,A1500,AA06,,,,69.91773968,69.10007301,,,,
F43A1501-201BU070,F43,A1501-201B,TMMGT,U070,774B,TACOMA,D13,A1501,AA06,,,,69.91773968,69.10007301,,,,
F43A1502-105BU070,F43,A1502-105B,TMMGT,U070,774B,TACOMA,D13,A1502,AA06,,,,69.91773968,69.10007301,,,,
F43A1502-201BU070,F43,A1502-201B,TMMGT,U070,774B,TACOMA,D13,A1502,AA06,,,,69.91773968,69.10007301,,,,
F43A1507-201BU070,F43,A1507-201B,TMMGT,U070,774B,TACOMA,D13,A1507,AA06,,,,69.91773968,69.10007301,,,,
F43Service,F43,Service,0.01,,,,,,,,,,79.11473963,85.63957296,,,,
